Combination,Feature,Percentage,Algorithm,FeatureSet,TranslatedFeatureSet,MAE,MAPE
combination_1_ABCD,A,10,KNN,A,δ13C coll,inf,inf
combination_1_ABCD,A,10,SVM,A,δ13C coll,inf,inf
combination_1_ABCD,A,10,RandomForest,A,δ13C coll,inf,inf
combination_1_ABCD,A,10,RandomForest_MICE,A,δ13C coll,inf,inf
combination_1_ABCD,A,10,HybridKNN_RF,A,δ13C coll,inf,inf
combination_1_ABCD,A,10,KNN,AB,δ13C coll_δ15N coll,inf,inf
combination_1_ABCD,A,10,SVM,AB,δ13C coll_δ15N coll,inf,inf
combination_1_ABCD,A,10,RandomForest,AB,δ13C coll_δ15N coll,inf,inf
combination_1_ABCD,A,10,RandomForest_MICE,AB,δ13C coll_δ15N coll,inf,inf
combination_1_ABCD,A,10,HybridKNN_RF,AB,δ13C coll_δ15N coll,inf,inf
combination_1_ABCD,A,10,KNN,AC,δ13C coll_δ13C carb,inf,inf
combination_1_ABCD,A,10,SVM,AC,δ13C coll_δ13C carb,inf,inf
combination_1_ABCD,A,10,RandomForest,AC,δ13C coll_δ13C carb,inf,inf
combination_1_ABCD,A,10,RandomForest_MICE,AC,δ13C coll_δ13C carb,inf,inf
combination_1_ABCD,A,10,HybridKNN_RF,AC,δ13C coll_δ13C carb,inf,inf
combination_1_ABCD,A,10,KNN,AD,δ13C coll_δ18O carb,inf,inf
combination_1_ABCD,A,10,SVM,AD,δ13C coll_δ18O carb,inf,inf
combination_1_ABCD,A,10,RandomForest,AD,δ13C coll_δ18O carb,inf,inf
combination_1_ABCD,A,10,RandomForest_MICE,AD,δ13C coll_δ18O carb,inf,inf
combination_1_ABCD,A,10,HybridKNN_RF,AD,δ13C coll_δ18O carb,inf,inf
combination_1_ABCD,A,10,KNN,ABC,δ13C coll_δ15N coll_δ13C carb,inf,inf
combination_1_ABCD,A,10,SVM,ABC,δ13C coll_δ15N coll_δ13C carb,inf,inf
combination_1_ABCD,A,10,RandomForest,ABC,δ13C coll_δ15N coll_δ13C carb,inf,inf
combination_1_ABCD,A,10,RandomForest_MICE,ABC,δ13C coll_δ15N coll_δ13C carb,inf,inf
combination_1_ABCD,A,10,HybridKNN_RF,ABC,δ13C coll_δ15N coll_δ13C carb,inf,inf
combination_1_ABCD,A,10,KNN,ABD,δ13C coll_δ15N coll_δ18O carb,inf,inf
combination_1_ABCD,A,10,SVM,ABD,δ13C coll_δ15N coll_δ18O carb,inf,inf
combination_1_ABCD,A,10,RandomForest,ABD,δ13C coll_δ15N coll_δ18O carb,inf,inf
combination_1_ABCD,A,10,RandomForest_MICE,ABD,δ13C coll_δ15N coll_δ18O carb,inf,inf
combination_1_ABCD,A,10,HybridKNN_RF,ABD,δ13C coll_δ15N coll_δ18O carb,inf,inf
combination_1_ABCD,A,10,KNN,ACD,δ13C coll_δ13C carb_δ18O carb,inf,inf
combination_1_ABCD,A,10,SVM,ACD,δ13C coll_δ13C carb_δ18O carb,inf,inf
combination_1_ABCD,A,10,RandomForest,ACD,δ13C coll_δ13C carb_δ18O carb,inf,inf
combination_1_ABCD,A,10,RandomForest_MICE,ACD,δ13C coll_δ13C carb_δ18O carb,inf,inf
combination_1_ABCD,A,10,HybridKNN_RF,ACD,δ13C coll_δ13C carb_δ18O carb,inf,inf
combination_1_ABCD,A,10,KNN,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,inf,inf
combination_1_ABCD,A,10,SVM,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,inf,inf
