Combination,Feature,Percentage,Algorithm,FeatureSet,TranslatedFeatureSet,MAE,MAPE,MAE (‰)
combination_1_ABCD,A (δ13C coll),10,KNN,A,δ13C coll,1.6181176624852838,9.105623646148034,-82.69145799694395
combination_1_ABCD,A (δ13C coll),10,SVM,A,δ13C coll,1.665898690473751,9.652710374725995,-85.13323523018336
combination_1_ABCD,A (δ13C coll),10,RandomForest,A,δ13C coll,1.8108611639939056,10.28118752241961,-92.54132338603092
combination_1_ABCD,A (δ13C coll),10,RandomForest_MICE,A,δ13C coll,1.769142593188,10.011427098240434,-90.40935886610193
combination_1_ABCD,A (δ13C coll),10,HybridKNN_RF,A,δ13C coll,1.8219829506353278,10.352418305550891,-93.10968548616249
combination_1_ABCD,A (δ13C coll),10,KNN,AB,δ13C coll_δ15N coll,1.6010883363780295,9.044416108363807,-81.82120001931862
combination_1_ABCD,A (δ13C coll),10,SVM,AB,δ13C coll_δ15N coll,1.668238834082723,9.683452379498798,-85.25282473311908
combination_1_ABCD,A (δ13C coll),10,RandomForest,AB,δ13C coll_δ15N coll,1.835810623928967,10.385303434820955,-93.816327834779
combination_1_ABCD,A (δ13C coll),10,RandomForest_MICE,AB,δ13C coll_δ15N coll,1.761766270490805,10.027997746751039,-90.03240304105385
combination_1_ABCD,A (δ13C coll),10,HybridKNN_RF,AB,δ13C coll_δ15N coll,1.8169525117525271,10.329915315154448,-92.85261250857421
combination_1_ABCD,A (δ13C coll),10,KNN,AC,δ13C coll_δ13C carb,1.8221410697032436,10.44600366502903,-93.11776592219395
combination_1_ABCD,A (δ13C coll),10,SVM,AC,δ13C coll_δ13C carb,1.7329708547102414,10.012066524547702,-88.56085683046135
combination_1_ABCD,A (δ13C coll),10,RandomForest,AC,δ13C coll_δ13C carb,1.79194504087631,10.181799086026498,-91.57464349833896
combination_1_ABCD,A (δ13C coll),10,RandomForest_MICE,AC,δ13C coll_δ13C carb,1.8405459179149937,10.458843783218573,-94.05831787841234
combination_1_ABCD,A (δ13C coll),10,HybridKNN_RF,AC,δ13C coll_δ13C carb,1.8659643428327874,10.545377282872746,-95.35728807394801
combination_1_ABCD,A (δ13C coll),10,KNN,AD,δ13C coll_δ18O carb,1.5911738846263142,8.998711054511835,-81.31453694431671
combination_1_ABCD,A (δ13C coll),10,SVM,AD,δ13C coll_δ18O carb,1.6552939388976042,9.57044445743019,-84.59129542576885
combination_1_ABCD,A (δ13C coll),10,RandomForest,AD,δ13C coll_δ18O carb,1.8099071180144235,10.270507702815099,-92.49256830791236
combination_1_ABCD,A (δ13C coll),10,RandomForest_MICE,AD,δ13C coll_δ18O carb,1.7930083481102603,10.174020844017267,-91.62898220776198
combination_1_ABCD,A (δ13C coll),10,HybridKNN_RF,AD,δ13C coll_δ18O carb,1.821028414931191,10.40100822440717,-93.06090538140549
combination_1_ABCD,A (δ13C coll),10,KNN,ABC,δ13C coll_δ15N coll_δ13C carb,1.7905599119067919,10.15235015619514,-91.50385857542591
combination_1_ABCD,A (δ13C coll),10,SVM,ABC,δ13C coll_δ15N coll_δ13C carb,1.727027389373697,9.956235707517077,-88.25712501563257
combination_1_ABCD,A (δ13C coll),10,RandomForest,ABC,δ13C coll_δ15N coll_δ13C carb,1.8841120239486984,10.521469264554733,-96.28469789433981
combination_1_ABCD,A (δ13C coll),10,RandomForest_MICE,ABC,δ13C coll_δ15N coll_δ13C carb,1.853329053749037,10.37022144687974,-94.71158071856112
combination_1_ABCD,A (δ13C coll),10,HybridKNN_RF,ABC,δ13C coll_δ15N coll_δ13C carb,1.8884047032030211,10.554162872661744,-96.5040687809464
combination_1_ABCD,A (δ13C coll),10,KNN,ABD,δ13C coll_δ15N coll_δ18O carb,1.618249716640279,9.166157074557741,-82.6982064249874
combination_1_ABCD,A (δ13C coll),10,SVM,ABD,δ13C coll_δ15N coll_δ18O carb,1.6721906449439974,9.712913962212102,-85.4547760555866
combination_1_ABCD,A (δ13C coll),10,RandomForest,ABD,δ13C coll_δ15N coll_δ18O carb,1.8716582531496495,10.569814917918606,-95.64826675659955
combination_1_ABCD,A (δ13C coll),10,RandomForest_MICE,ABD,δ13C coll_δ15N coll_δ18O carb,1.8286361012056989,10.421713099669915,-93.44968469245767
combination_1_ABCD,A (δ13C coll),10,HybridKNN_RF,ABD,δ13C coll_δ15N coll_δ18O carb,1.815130735639184,10.343536983942908,-92.7595133931953
combination_1_ABCD,A (δ13C coll),10,KNN,ACD,δ13C coll_δ13C carb_δ18O carb,1.8125499918808106,10.45297628575766,-92.62762838319632
combination_1_ABCD,A (δ13C coll),10,SVM,ACD,δ13C coll_δ13C carb_δ18O carb,1.7251157725213386,9.9742551533599,-88.15943472504502
combination_1_ABCD,A (δ13C coll),10,RandomForest,ACD,δ13C coll_δ13C carb_δ18O carb,1.8313127621521201,10.37775838601399,-93.58647140541098
combination_1_ABCD,A (δ13C coll),10,RandomForest_MICE,ACD,δ13C coll_δ13C carb_δ18O carb,1.8858865888036391,10.61013414238453,-96.37538434969917
combination_1_ABCD,A (δ13C coll),10,HybridKNN_RF,ACD,δ13C coll_δ13C carb_δ18O carb,1.9629456228230435,11.046781891551115,-100.31336983903229
combination_1_ABCD,A (δ13C coll),10,KNN,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,1.844394293427516,10.42956618706326,-94.25498329368347
combination_1_ABCD,A (δ13C coll),10,SVM,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,1.6981246192865345,9.77021455710128,-86.78009262542489
combination_1_ABCD,A (δ13C coll),10,RandomForest,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,1.9003811615734918,10.620009381783586,-97.11610758829298
combination_1_ABCD,A (δ13C coll),10,RandomForest_MICE,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,1.8913989105265316,10.567337994145126,-96.6570832216552
combination_1_ABCD,A (δ13C coll),10,HybridKNN_RF,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,1.9349129819754007,10.806367368761794,-98.88080408875432
combination_1_ABCD,A (δ13C coll),15,KNN,A,δ13C coll,1.6318697821671506,9.222746956927804,-83.3942392924002
combination_1_ABCD,A (δ13C coll),15,SVM,A,δ13C coll,1.6910273298685847,9.728836610505118,-86.41739637446427
