Combination,FeatureComb,Percentage,Algorithm,Mean RMSE,Mean NRMSE
combination_1_ABCD,A,10,KNN,0.26170158344853134,0.04543430268203668
combination_1_ABCD,A,10,MICE,0.26741170079924237,0.04642564249986845
combination_1_ABCD,A,10,RandomForest,0.250121366347408,0.04342384832420276
combination_1_ABCD,B,10,KNN,0.5084130974421228,0.06125459005326781
combination_1_ABCD,B,10,MICE,0.4852102273496059,0.05845906353609709
combination_1_ABCD,B,10,RandomForest,0.47980748795656447,0.05780813107910415
combination_1_ABCD,C,10,KNN,0.5038453761060684,0.07947087951199817
combination_1_ABCD,C,10,MICE,0.5065592208644244,0.07989893073571364
combination_1_ABCD,C,10,RandomForest,0.5373837281289727,0.08476084039889159
combination_1_ABCD,D,10,KNN,0.3867373252491776,0.0662221447344482
combination_1_ABCD,D,10,MICE,0.3568011027391873,0.061096079236162205
combination_1_ABCD,D,10,RandomForest,0.36793136468287513,0.06300194600734163
combination_1_ABCD,AB,10,KNN,0.455738475015135,0.06252089964393491
combination_1_ABCD,AB,10,MICE,0.3971148211391703,0.05537557876023731
combination_1_ABCD,AB,10,RandomForest,0.4348004032943905,0.05999363167124465
combination_1_ABCD,AC,10,KNN,0.44248753459963075,0.07196800458791854
combination_1_ABCD,AC,10,MICE,0.4444459379223803,0.07221749227599938
combination_1_ABCD,AC,10,RandomForest,0.44846839193351967,0.07287583914763819
combination_1_ABCD,AD,10,KNN,0.3282741342716909,0.05652955560055397
combination_1_ABCD,AD,10,MICE,0.30422889812591347,0.052413534878388804
combination_1_ABCD,AD,10,RandomForest,0.31642511738167234,0.05451040389766346
combination_1_ABCD,BC,10,KNN,0.5595375789589376,0.07904862299726387
combination_1_ABCD,BC,10,MICE,0.5574258326520842,0.07877312052444482
combination_1_ABCD,BC,10,RandomForest,0.554319582509817,0.07851274945515005
combination_1_ABCD,BD,10,KNN,0.427369856075759,0.06114079565140138
combination_1_ABCD,BD,10,MICE,0.41254389737619646,0.0583036131024814
combination_1_ABCD,BD,10,RandomForest,0.42564224655041044,0.06041339353870397
combination_1_ABCD,CD,10,KNN,0.4555534386850866,0.07432931803456717
combination_1_ABCD,CD,10,MICE,0.4201378819489775,0.0685423913591448
combination_1_ABCD,CD,10,RandomForest,0.4541478614688647,0.07417186188381299
combination_1_ABCD,ABC,10,KNN,0.46075875910571296,0.06643264033477862
combination_1_ABCD,ABC,10,MICE,0.4344232120440189,0.06373159975339278
combination_1_ABCD,ABC,10,RandomForest,0.46942790237338655,0.0681087275527489
combination_1_ABCD,ABD,10,KNN,0.4121532935043251,0.06040251867844403
combination_1_ABCD,ABD,10,MICE,0.38421486828266915,0.0573635033476108
combination_1_ABCD,ABD,10,RandomForest,0.39918979603593385,0.05911004210103256
combination_1_ABCD,ACD,10,KNN,0.41837821934965425,0.06908913756354101
combination_1_ABCD,ACD,10,MICE,0.4184475088501731,0.06904586227516417
combination_1_ABCD,ACD,10,RandomForest,0.4227441290194417,0.0697843769257814
combination_1_ABCD,BCD,10,KNN,0.49231587036985724,0.07338852010431429
combination_1_ABCD,BCD,10,MICE,0.49306551164260193,0.0733250283239346
combination_1_ABCD,BCD,10,RandomForest,0.4993596125824974,0.07470482146601107
combination_1_ABCD,ABCD,10,KNN,0.43197770780297456,0.06469978010348033
combination_1_ABCD,ABCD,10,MICE,0.4057796667684747,0.061465778870460105
combination_1_ABCD,ABCD,10,RandomForest,0.4263061409419934,0.06407547219427541
combination_1_ABCD,A,15,KNN,0.32517875125074097,0.056454644314364734
combination_1_ABCD,A,15,MICE,0.3146397188444473,0.05462495118827208
combination_1_ABCD,A,15,RandomForest,0.32240033610103047,0.055972280573095556
combination_1_ABCD,B,15,KNN,0.6035484543785115,0.07271668125042305
combination_1_ABCD,B,15,MICE,0.6006412045082182,0.07236641018171304
combination_1_ABCD,B,15,RandomForest,0.582633677785578,0.07019682864886481
combination_1_ABCD,C,15,KNN,0.6122429871826618,0.09656829450830626
combination_1_ABCD,C,15,MICE,0.6263592577998094,0.09879483561511189
combination_1_ABCD,C,15,RandomForest,0.6511183651739537,0.10270005759841541
combination_1_ABCD,D,15,KNN,0.4770105806443177,0.08167989394594481
combination_1_ABCD,D,15,MICE,0.4362937255886779,0.07470782972408867
combination_1_ABCD,D,15,RandomForest,0.44473682099226225,0.07615356523840104
combination_1_ABCD,AB,15,KNN,0.562801667038207,0.07733501808141321
combination_1_ABCD,AB,15,MICE,0.49596770817021885,0.06922783285873196
combination_1_ABCD,AB,15,RandomForest,0.5444786420712624,0.07583343781358573
combination_1_ABCD,AC,15,KNN,0.4925337076635746,0.08017247588670048
combination_1_ABCD,AC,15,MICE,0.4999496130564089,0.08134640511333838
combination_1_ABCD,AC,15,RandomForest,0.5278338417778269,0.08609757073210025
combination_1_ABCD,AD,15,KNN,0.38040396274207433,0.06550923453172686
combination_1_ABCD,AD,15,MICE,0.3626734430196052,0.06247707338687688
combination_1_ABCD,AD,15,RandomForest,0.3779275626564781,0.06510681538715572
combination_1_ABCD,BC,15,KNN,0.6406163025615086,0.08953081783262623
combination_1_ABCD,BC,15,MICE,0.6496755719883065,0.09113159985021131
combination_1_ABCD,BC,15,RandomForest,0.6315326848069401,0.08891860509693561
combination_1_ABCD,BD,15,KNN,0.5022426634184382,0.07174529794923445
combination_1_ABCD,BD,15,MICE,0.5013773998738071,0.07068273795565887
combination_1_ABCD,BD,15,RandomForest,0.47985361209064276,0.06785975174414628
combination_1_ABCD,CD,15,KNN,0.5436505699876666,0.08865625915862775
combination_1_ABCD,CD,15,MICE,0.5213824574699852,0.08504365723961893
combination_1_ABCD,CD,15,RandomForest,0.5372254973672692,0.08752456434348413
combination_1_ABCD,ABC,15,KNN,0.6029146920079701,0.08674081283887788
combination_1_ABCD,ABC,15,MICE,0.5529906507956476,0.08116728486304818
combination_1_ABCD,ABC,15,RandomForest,0.5884056208091324,0.08578516262419664
combination_1_ABCD,ABD,15,KNN,0.5212288622663112,0.07625501998244172
combination_1_ABCD,ABD,15,MICE,0.4658794763601966,0.06925248713580985
combination_1_ABCD,ABD,15,RandomForest,0.5108854055519498,0.07579114891447288
combination_1_ABCD,ACD,15,KNN,0.4777154195909684,0.07892390537258397
combination_1_ABCD,ACD,15,MICE,0.4689561767553837,0.07745178604329524
combination_1_ABCD,ACD,15,RandomForest,0.4951150009044538,0.08190995022274906
combination_1_ABCD,BCD,15,KNN,0.5807391067795752,0.08575282571423397
combination_1_ABCD,BCD,15,MICE,0.5686497300721783,0.08401028858985322
combination_1_ABCD,BCD,15,RandomForest,0.5771101702280791,0.0861058621937209
combination_1_ABCD,ABCD,15,KNN,0.5578052766576039,0.08349652070477928
combination_1_ABCD,ABCD,15,MICE,0.5208464471948666,0.07904337284711563
combination_1_ABCD,ABCD,15,RandomForest,0.5328458127475415,0.08061544885095484
combination_1_ABCD,A,20,KNN,0.38424507280370807,0.06670921402842153
combination_1_ABCD,A,20,MICE,0.3766708383468799,0.06539424276855552
combination_1_ABCD,A,20,RandomForest,0.3839711943412854,0.06666166568425091
combination_1_ABCD,B,20,KNN,0.7693191530636694,0.09268905458598425
combination_1_ABCD,B,20,MICE,0.7345065809570238,0.08849476879000287
combination_1_ABCD,B,20,RandomForest,0.6674801337643238,0.08041929322461731
combination_1_ABCD,C,20,KNN,0.7540006928019148,0.11892755406970265
combination_1_ABCD,C,20,MICE,0.758540853123395,0.11964366768507809
combination_1_ABCD,C,20,RandomForest,0.8131344534959435,0.12825464566182077
combination_1_ABCD,D,20,KNN,0.5806201273327698,0.09942125468026879
combination_1_ABCD,D,20,MICE,0.5414898079895619,0.09272085753245922
combination_1_ABCD,D,20,RandomForest,0.5534733052222497,0.09477282623668658
combination_1_ABCD,AB,20,KNN,0.6944749847593961,0.0959442573028469
combination_1_ABCD,AB,20,MICE,0.6201256229923149,0.08613604419314325
combination_1_ABCD,AB,20,RandomForest,0.6761797215958192,0.09404565667069782
combination_1_ABCD,AC,20,KNN,0.5777544271525312,0.09416224654028311
combination_1_ABCD,AC,20,MICE,0.5792382232165219,0.09435309489708428
combination_1_ABCD,AC,20,RandomForest,0.5871051356221366,0.09583746411647309
combination_1_ABCD,AD,20,KNN,0.44068459756860234,0.07589181088764978
combination_1_ABCD,AD,20,MICE,0.4229942209705997,0.07287943133170566
combination_1_ABCD,AD,20,RandomForest,0.4428125603028629,0.07628175148359374
combination_1_ABCD,BC,20,KNN,0.7764721458955071,0.1082362633379211
combination_1_ABCD,BC,20,MICE,0.759509804196064,0.10604543025104711
combination_1_ABCD,BC,20,RandomForest,0.7299908257741186,0.10272325810773078
combination_1_ABCD,BD,20,KNN,0.6170697219054195,0.0873016145680193
combination_1_ABCD,BD,20,MICE,0.6041010768940318,0.08464937413986898
