Combination,Feature,Percentage,Algorithm,FeatureSet,TranslatedFeatureSet,MAE,MAPE,MAE (‰)
combination_1_ABCD,A (δ13C coll),10,KNN,A,δ13C coll,1.5504214285714286,8.50662473214552,-84.79500845851251
combination_1_ABCD,A (δ13C coll),10,SVM,A,δ13C coll,1.4078863769621404,7.646002892447901,-76.99954028185005
combination_1_ABCD,A (δ13C coll),10,RandomForest,A,δ13C coll,1.4509381904761955,8.457271483653685,-79.35411228647094
combination_1_ABCD,A (δ13C coll),10,RandomForest_MICE,A,δ13C coll,1.4858249999999995,8.58481306678782,-81.26212726494502
combination_1_ABCD,A (δ13C coll),10,HybridKNN_RF,A,δ13C coll,1.4592438571428559,8.558380345693752,-79.80836237762323
combination_1_ABCD,A (δ13C coll),10,KNN,AB,δ13C coll_δ15N coll,1.5912171428571429,8.646076057120144,-87.02619081588975
combination_1_ABCD,A (δ13C coll),10,SVM,AB,δ13C coll_δ15N coll,1.4696583729843606,7.921664487367917,-80.37794877690656
combination_1_ABCD,A (δ13C coll),10,RandomForest,AB,δ13C coll_δ15N coll,1.4279941836734722,8.262365520748919,-78.09926814212643
combination_1_ABCD,A (δ13C coll),10,RandomForest_MICE,AB,δ13C coll_δ15N coll,1.3749674285714273,8.073973060390648,-75.19915075175446
combination_1_ABCD,A (δ13C coll),10,HybridKNN_RF,AB,δ13C coll_δ15N coll,1.5234334285714284,9.037070065636607,-83.31899190836269
combination_1_ABCD,A (δ13C coll),10,KNN,AC,δ13C coll_δ13C carb,1.7126757142857147,9.452266015903803,-93.66895284294343
combination_1_ABCD,A (δ13C coll),10,SVM,AC,δ13C coll_δ13C carb,1.70689897337903,8.949266172830306,-93.35301371502753
combination_1_ABCD,A (δ13C coll),10,RandomForest,AC,δ13C coll_δ13C carb,1.654097130952378,9.35927427375687,-90.46519715581081
combination_1_ABCD,A (δ13C coll),10,RandomForest_MICE,AC,δ13C coll_δ13C carb,1.41644757142857,8.070487225596505,-77.46776559389619
combination_1_ABCD,A (δ13C coll),10,HybridKNN_RF,AC,δ13C coll_δ13C carb,1.4664371428571386,8.395693245125296,-80.20177458913344
combination_1_ABCD,A (δ13C coll),10,KNN,AD,δ13C coll_δ18O carb,1.4783157142857146,8.225518252489737,-80.85143251194043
combination_1_ABCD,A (δ13C coll),10,SVM,AD,δ13C coll_δ18O carb,1.4570985733861233,7.870494165114141,-79.69103340438681
combination_1_ABCD,A (δ13C coll),10,RandomForest,AD,δ13C coll_δ18O carb,1.3913063142857118,8.065239312549341,-76.09275034139765
combination_1_ABCD,A (δ13C coll),10,RandomForest_MICE,AD,δ13C coll_δ18O carb,1.517710857142853,8.591935574100543,-83.00601539517196
combination_1_ABCD,A (δ13C coll),10,HybridKNN_RF,AD,δ13C coll_δ18O carb,1.4737584285714256,8.604561278294694,-80.6021873237808
combination_1_ABCD,A (δ13C coll),10,KNN,ABC,δ13C coll_δ15N coll_δ13C carb,1.6771285714285717,9.212688908504392,-91.72482318651528
combination_1_ABCD,A (δ13C coll),10,SVM,ABC,δ13C coll_δ15N coll_δ13C carb,1.5190656517475607,8.039156489327713,-83.08011126217217
combination_1_ABCD,A (δ13C coll),10,RandomForest,ABC,δ13C coll_δ15N coll_δ13C carb,1.4614647500000004,8.318060909756856,-79.92982653255339
