Combination,Feature,Percentage,Algorithm,FeatureSet,TranslatedFeatureSet,MAE,MAPE,MAE (‰)
combination_1_ABCD,A (δ13C coll),10,KNN,A,δ13C coll,0.6225498501498502,2.8897470457902728,-29.172776245323863
combination_1_ABCD,A (δ13C coll),10,SVM,A,δ13C coll,0.7154974433123897,3.321943438192883,-33.528313937959204
combination_1_ABCD,A (δ13C coll),10,RandomForest,A,δ13C coll,0.6131859432491765,2.847646293671122,-28.733982210228287
combination_1_ABCD,A (δ13C coll),10,RandomForest_MICE,A,δ13C coll,0.6351721503496527,2.9597544635065947,-29.764259062870938
combination_1_ABCD,A (δ13C coll),10,HybridKNN_RF,A,δ13C coll,0.6257015409590447,2.9105165993679347,-29.3204649336256
combination_1_ABCD,A (δ13C coll),10,KNN,AB,δ13C coll_δ15N coll,0.7080804695304692,3.3227001264277143,-33.18075347110612
combination_1_ABCD,A (δ13C coll),10,SVM,AB,δ13C coll_δ15N coll,0.7862153082715906,3.690029666758421,-36.84216334376215
combination_1_ABCD,A (δ13C coll),10,RandomForest,AB,δ13C coll_δ15N coll,0.7070193536934264,3.29683862092931,-33.13102942912464
combination_1_ABCD,A (δ13C coll),10,RandomForest_MICE,AB,δ13C coll_δ15N coll,0.7075453846153865,3.303182916769212,-33.15567931440012
combination_1_ABCD,A (δ13C coll),10,HybridKNN_RF,AB,δ13C coll_δ15N coll,0.7141374975024993,3.3524483961094718,-33.4645866801209
combination_1_ABCD,A (δ13C coll),10,KNN,AC,δ13C coll_δ13C carb,0.6472207042957043,3.0011679005546137,-30.328856047776284
combination_1_ABCD,A (δ13C coll),10,SVM,AC,δ13C coll_δ13C carb,0.7053393686357172,3.271196761288054,-33.0523050857291
combination_1_ABCD,A (δ13C coll),10,RandomForest,AC,δ13C coll_δ13C carb,0.61021952817807,2.829084472766809,-28.594975569877615
combination_1_ABCD,A (δ13C coll),10,RandomForest_MICE,AC,δ13C coll_δ13C carb,0.6437265509490506,2.9909100047323003,-30.165119515313474
combination_1_ABCD,A (δ13C coll),10,HybridKNN_RF,AC,δ13C coll_δ13C carb,0.6565283316683329,3.056573531295954,-30.76501281602735
combination_1_ABCD,A (δ13C coll),10,KNN,AD,δ13C coll_δ18O carb,0.6210927822177823,2.8848009738894187,-29.10449783075799
combination_1_ABCD,A (δ13C coll),10,SVM,AD,δ13C coll_δ18O carb,0.7146265250301725,3.3227758324652976,-33.487502580974756
combination_1_ABCD,A (δ13C coll),10,RandomForest,AD,δ13C coll_δ18O carb,0.6428332098661298,2.998742309784852,-30.12325742263683
combination_1_ABCD,A (δ13C coll),10,RandomForest_MICE,AD,δ13C coll_δ18O carb,0.6880910514485523,3.2306550987177305,-32.24404644139978
combination_1_ABCD,A (δ13C coll),10,HybridKNN_RF,AD,δ13C coll_δ18O carb,0.6859991583416614,3.2083670936702533,-32.14602002709452
combination_1_ABCD,A (δ13C coll),10,KNN,ABC,δ13C coll_δ15N coll_δ13C carb,0.7401548201798201,3.4837951154134337,-34.68376219319054
combination_1_ABCD,A (δ13C coll),10,SVM,ABC,δ13C coll_δ15N coll_δ13C carb,0.7639399528857151,3.5849249921729536,-35.79833696054032
combination_1_ABCD,A (δ13C coll),10,RandomForest,ABC,δ13C coll_δ15N coll_δ13C carb,0.7526893458169437,3.5217917370039418,-35.271131882003516
combination_1_ABCD,A (δ13C coll),10,RandomForest_MICE,ABC,δ13C coll_δ15N coll_δ13C carb,0.7627365359640371,3.5883141876027196,-35.74194466909972
combination_1_ABCD,A (δ13C coll),10,HybridKNN_RF,ABC,δ13C coll_δ15N coll_δ13C carb,0.7905742632367658,3.729059960215013,-37.04642460546175
combination_1_ABCD,A (δ13C coll),10,KNN,ABD,δ13C coll_δ15N coll_δ18O carb,0.7110984765234762,3.334620490257952,-33.32217771639768
combination_1_ABCD,A (δ13C coll),10,SVM,ABD,δ13C coll_δ15N coll_δ18O carb,0.77078799410859,3.6098266933359384,-36.11923716518353
combination_1_ABCD,A (δ13C coll),10,RandomForest,ABD,δ13C coll_δ15N coll_δ18O carb,0.7157672226939319,3.3406586802665563,-33.540955838895236
combination_1_ABCD,A (δ13C coll),10,RandomForest_MICE,ABD,δ13C coll_δ15N coll_δ18O carb,0.6564488061938076,3.0567328502012066,-30.761286240760214
combination_1_ABCD,A (δ13C coll),10,HybridKNN_RF,ABD,δ13C coll_δ15N coll_δ18O carb,0.6703139410589424,3.1240216727298957,-31.411008470930945
combination_1_ABCD,A (δ13C coll),10,KNN,ACD,δ13C coll_δ13C carb_δ18O carb,0.6526937062937066,3.023291493175015,-30.585321714966625
combination_1_ABCD,A (δ13C coll),10,SVM,ACD,δ13C coll_δ13C carb_δ18O carb,0.6905868696452258,3.1908752984780926,-32.36100084397981
combination_1_ABCD,A (δ13C coll),10,RandomForest,ACD,δ13C coll_δ13C carb_δ18O carb,0.6061181181377127,2.8080726719452427,-28.402782900697996
combination_1_ABCD,A (δ13C coll),10,RandomForest_MICE,ACD,δ13C coll_δ13C carb_δ18O carb,0.6478969655344653,2.998507780847217,-30.360545747479865
combination_1_ABCD,A (δ13C coll),10,HybridKNN_RF,ACD,δ13C coll_δ13C carb_δ18O carb,0.6343553471528474,2.9448904525304798,-29.725983546635362
