Combination,Feature,Percentage,Algorithm,FeatureSet,TranslatedFeatureSet,MAE,MAPE
combination_1_ABCD,A,10,KNN,A,δ13C coll,0.3973231000205829,2.0379266351100127
combination_1_ABCD,A,10,SVM,A,δ13C coll,0.38201461102568046,1.9588944423359151
combination_1_ABCD,A,10,RandomForest,A,δ13C coll,0.4331288051501735,2.22552420550982
combination_1_ABCD,A,10,RandomForest_MICE,A,δ13C coll,0.4402513045899751,2.262434694879505
combination_1_ABCD,A,10,HybridKNN_RF,A,δ13C coll,0.4381873409368824,2.2506986459651457
combination_1_ABCD,A,10,KNN,AB,δ13C coll_δ15N coll,0.3945405579165303,2.0261689850388387
combination_1_ABCD,A,10,SVM,AB,δ13C coll_δ15N coll,0.37095860988055246,1.903499468247859
combination_1_ABCD,A,10,RandomForest,AB,δ13C coll_δ15N coll,0.43143003813878156,2.2152996863071754
combination_1_ABCD,A,10,RandomForest_MICE,AB,δ13C coll_δ15N coll,0.4346039668010599,2.2318239462177263
combination_1_ABCD,A,10,HybridKNN_RF,AB,δ13C coll_δ15N coll,0.4267243857227606,2.1919497219382356
combination_1_ABCD,A,10,KNN,AC,δ13C coll_δ13C carb,0.3981862191711162,2.0420701438877336
combination_1_ABCD,A,10,SVM,AC,δ13C coll_δ13C carb,0.3873030624799202,1.985754067097938
combination_1_ABCD,A,10,RandomForest,AC,δ13C coll_δ13C carb,0.43599120056982804,2.2393925936565173
combination_1_ABCD,A,10,RandomForest_MICE,AC,δ13C coll_δ13C carb,0.44038821934062167,2.263222973242457
combination_1_ABCD,A,10,HybridKNN_RF,AC,δ13C coll_δ13C carb,0.44700516060683004,2.2971465019347437
combination_1_ABCD,A,10,KNN,AD,δ13C coll_δ18O carb,0.4115693811824245,2.11165410118
combination_1_ABCD,A,10,SVM,AD,δ13C coll_δ18O carb,0.37328129711869684,1.9131816398615331
combination_1_ABCD,A,10,RandomForest,AD,δ13C coll_δ18O carb,0.4288562545703834,2.202443483855931
combination_1_ABCD,A,10,RandomForest_MICE,AD,δ13C coll_δ18O carb,0.4314745908248869,2.215697676711911
combination_1_ABCD,A,10,HybridKNN_RF,AD,δ13C coll_δ18O carb,0.4290900665915986,2.2035040602353844
combination_1_ABCD,A,10,KNN,ABC,δ13C coll_δ15N coll_δ13C carb,0.40201966994781646,2.062915325852786
combination_1_ABCD,A,10,SVM,ABC,δ13C coll_δ15N coll_δ13C carb,0.3714565687682507,1.9055960917530246
combination_1_ABCD,A,10,RandomForest,ABC,δ13C coll_δ15N coll_δ13C carb,0.4163641000354601,2.1346065483690744
combination_1_ABCD,A,10,RandomForest_MICE,ABC,δ13C coll_δ15N coll_δ13C carb,0.41595054108701646,2.1357346929625267
combination_1_ABCD,A,10,HybridKNN_RF,ABC,δ13C coll_δ15N coll_δ13C carb,0.42466345368251546,2.1806502284480285
combination_1_ABCD,A,10,KNN,ABD,δ13C coll_δ15N coll_δ18O carb,0.42521453634085216,2.1852313714858385
combination_1_ABCD,A,10,SVM,ABD,δ13C coll_δ15N coll_δ18O carb,0.38508748030032053,1.974578047886681
combination_1_ABCD,A,10,RandomForest,ABD,δ13C coll_δ15N coll_δ18O carb,0.4191692747717122,2.1501190063044495
combination_1_ABCD,A,10,RandomForest_MICE,ABD,δ13C coll_δ15N coll_δ18O carb,0.42692752279248686,2.19485129905862
combination_1_ABCD,A,10,HybridKNN_RF,ABD,δ13C coll_δ15N coll_δ18O carb,0.41414615112660763,2.129939595138258
combination_1_ABCD,A,10,KNN,ACD,δ13C coll_δ13C carb_δ18O carb,0.4061047376896349,2.0839578810045536
combination_1_ABCD,A,10,SVM,ACD,δ13C coll_δ13C carb_δ18O carb,0.3938496408472277,2.0174312874349525
combination_1_ABCD,A,10,RandomForest,ACD,δ13C coll_δ13C carb_δ18O carb,0.42671890382626276,2.188349089369526
combination_1_ABCD,A,10,RandomForest_MICE,ACD,δ13C coll_δ13C carb_δ18O carb,0.42453088772656083,2.181311310149857
combination_1_ABCD,A,10,HybridKNN_RF,ACD,δ13C coll_δ13C carb_δ18O carb,0.43153713208140926,2.2154510538719125
combination_1_ABCD,A,10,KNN,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,0.4078328926180184,2.096703574916929
combination_1_ABCD,A,10,SVM,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,0.3717220229994935,1.9068604745716187
combination_1_ABCD,A,10,RandomForest,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,0.42119559677166657,2.16004744281118
combination_1_ABCD,A,10,RandomForest_MICE,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,0.41678056275955494,2.137006092852142
combination_1_ABCD,A,10,HybridKNN_RF,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,0.43067247926579605,2.2091519610513486
combination_1_ABCD,A,15,KNN,A,δ13C coll,0.3920717948717948,2.001706284870328
combination_1_ABCD,A,15,SVM,A,δ13C coll,0.3802746719158618,1.9403266146453764
combination_1_ABCD,A,15,RandomForest,A,δ13C coll,0.4122538822371717,2.1084897766233377
combination_1_ABCD,A,15,RandomForest_MICE,A,δ13C coll,0.41972945054944927,2.146874765239526
combination_1_ABCD,A,15,HybridKNN_RF,A,δ13C coll,0.4177182417582408,2.1364434839713717
combination_1_ABCD,A,15,KNN,AB,δ13C coll_δ15N coll,0.39204249084249077,2.0025313162457
combination_1_ABCD,A,15,SVM,AB,δ13C coll_δ15N coll,0.3736912766294491,1.908800634621813
combination_1_ABCD,A,15,RandomForest,AB,δ13C coll_δ15N coll,0.4238893460494341,2.168692729416384
combination_1_ABCD,A,15,RandomForest_MICE,AB,δ13C coll_δ15N coll,0.4216438461538449,2.158119308344813
combination_1_ABCD,A,15,HybridKNN_RF,AB,δ13C coll_δ15N coll,0.41696318681318606,2.13161069394558
combination_1_ABCD,A,15,KNN,AC,δ13C coll_δ13C carb,0.38782527472527484,1.9806119408041725
combination_1_ABCD,A,15,SVM,AC,δ13C coll_δ13C carb,0.38112074518107797,1.9444887550990486
combination_1_ABCD,A,15,RandomForest,AC,δ13C coll_δ13C carb,0.41371448114029974,2.114722301031545
combination_1_ABCD,A,15,RandomForest_MICE,AC,δ13C coll_δ13C carb,0.425384358974358,2.1747071349686578
combination_1_ABCD,A,15,HybridKNN_RF,AC,δ13C coll_δ13C carb,0.42616681318681177,2.1797132271764146
combination_1_ABCD,A,15,KNN,AD,δ13C coll_δ18O carb,0.4048446886446887,2.0681408969404753
combination_1_ABCD,A,15,SVM,AD,δ13C coll_δ18O carb,0.3790412639290877,1.9344629224304193
combination_1_ABCD,A,15,RandomForest,AD,δ13C coll_δ18O carb,0.41807444624104156,2.1370872789782562
