Combination,Feature,Percentage,Algorithm,FeatureSet,TranslatedFeatureSet,MAE,MAPE
combination_2_ABCDE,A,10,KNN,A,δ13C coll,0.368185714285714,1.863343726104318
combination_2_ABCDE,A,10,SVM,A,δ13C coll,0.3303132810945074,1.6695548141885819
combination_2_ABCDE,A,10,RandomForest,A,δ13C coll,0.4037478726025931,2.037303168701307
combination_2_ABCDE,A,10,RandomForest_MICE,A,δ13C coll,0.4095850000000006,2.067473372469992
combination_2_ABCDE,A,10,HybridKNN_RF,A,δ13C coll,0.4071050000000005,2.0534988156090526
combination_2_ABCDE,A,10,KNN,AB,δ13C coll_δ15N coll,0.36739999999999984,1.8619014837217567
combination_2_ABCDE,A,10,SVM,AB,δ13C coll_δ15N coll,0.3554363861577432,1.7983179655004373
combination_2_ABCDE,A,10,RandomForest,AB,δ13C coll_δ15N coll,0.39559074998355687,1.9965794521680196
combination_2_ABCDE,A,10,RandomForest_MICE,AB,δ13C coll_δ15N coll,0.39609857142857297,2.000325506312633
combination_2_ABCDE,A,10,HybridKNN_RF,AB,δ13C coll_δ15N coll,0.42038857142857095,2.123119674585697
combination_2_ABCDE,A,10,KNN,AC,δ13C coll_δ13C carb,0.36974999999999947,1.8709810740248813
combination_2_ABCDE,A,10,SVM,AC,δ13C coll_δ13C carb,0.3274486854379789,1.6560485575752686
combination_2_ABCDE,A,10,RandomForest,AC,δ13C coll_δ13C carb,0.4105795290037338,2.0735344756416074
combination_2_ABCDE,A,10,RandomForest_MICE,AC,δ13C coll_δ13C carb,0.41368357142857165,2.0918670325787185
combination_2_ABCDE,A,10,HybridKNN_RF,AC,δ13C coll_δ13C carb,0.40862142857142925,2.0648661266260135
combination_2_ABCDE,A,10,KNN,AD,δ13C coll_δ18O carb,0.3647928571428568,1.846690920610835
combination_2_ABCDE,A,10,SVM,AD,δ13C coll_δ18O carb,0.3350553195339252,1.6922644934103843
combination_2_ABCDE,A,10,RandomForest,AD,δ13C coll_δ18O carb,0.4065620968366933,2.0511938085928367
combination_2_ABCDE,A,10,RandomForest_MICE,AD,δ13C coll_δ18O carb,0.4009028571428576,2.0249182246084123
combination_2_ABCDE,A,10,HybridKNN_RF,AD,δ13C coll_δ18O carb,0.4200614285714286,2.1208028367456695
combination_2_ABCDE,A,10,KNN,AE,δ13C coll_δ18O phos,0.34522142857142785,1.7468826340817594
combination_2_ABCDE,A,10,SVM,AE,δ13C coll_δ18O phos,0.3266003759794704,1.652459832976644
combination_2_ABCDE,A,10,RandomForest,AE,δ13C coll_δ18O phos,0.40189079188755733,2.0274207061979594
combination_2_ABCDE,A,10,RandomForest_MICE,AE,δ13C coll_δ18O phos,0.4134092857142869,2.088052939389791
combination_2_ABCDE,A,10,HybridKNN_RF,AE,δ13C coll_δ18O phos,0.412355000000001,2.081057804608938
combination_2_ABCDE,A,10,KNN,ABC,δ13C coll_δ15N coll_δ13C carb,0.3704357142857143,1.8763120923592016
combination_2_ABCDE,A,10,SVM,ABC,δ13C coll_δ15N coll_δ13C carb,0.3436091390434497,1.7389694615072646
combination_2_ABCDE,A,10,RandomForest,ABC,δ13C coll_δ15N coll_δ13C carb,0.3836800574313054,1.9384373958216703
combination_2_ABCDE,A,10,RandomForest_MICE,ABC,δ13C coll_δ15N coll_δ13C carb,0.37637214285714354,1.8986975225455773
combination_2_ABCDE,A,10,HybridKNN_RF,ABC,δ13C coll_δ15N coll_δ13C carb,0.39056928571428706,1.9716304048278737
combination_2_ABCDE,A,10,KNN,ABD,δ13C coll_δ15N coll_δ18O carb,0.36932142857142825,1.871994114400198
combination_2_ABCDE,A,10,SVM,ABD,δ13C coll_δ15N coll_δ18O carb,0.34966090727266474,1.7691915655269521
combination_2_ABCDE,A,10,RandomForest,ABD,δ13C coll_δ15N coll_δ18O carb,0.411104722475938,2.079154898469459
combination_2_ABCDE,A,10,RandomForest_MICE,ABD,δ13C coll_δ15N coll_δ18O carb,0.4166185714285741,2.1026053871112573
combination_2_ABCDE,A,10,HybridKNN_RF,ABD,δ13C coll_δ15N coll_δ18O carb,0.43026500000000034,2.1742015612075547
combination_2_ABCDE,A,10,KNN,ABE,δ13C coll_δ15N coll_δ18O phos,0.3783999999999998,1.9164458963661144
combination_2_ABCDE,A,10,SVM,ABE,δ13C coll_δ15N coll_δ18O phos,0.3665907781871338,1.8544769994989057
combination_2_ABCDE,A,10,RandomForest,ABE,δ13C coll_δ15N coll_δ18O phos,0.41456292125632227,2.096174418378927
combination_2_ABCDE,A,10,RandomForest_MICE,ABE,δ13C coll_δ15N coll_δ18O phos,0.3987742857142872,2.011519687791815
combination_2_ABCDE,A,10,HybridKNN_RF,ABE,δ13C coll_δ15N coll_δ18O phos,0.41776928571428684,2.1085212463833125
combination_2_ABCDE,A,10,KNN,ACD,δ13C coll_δ13C carb_δ18O carb,0.3699714285714278,1.872259067443835
combination_2_ABCDE,A,10,SVM,ACD,δ13C coll_δ13C carb_δ18O carb,0.3385345862105037,1.7140246826573187
combination_2_ABCDE,A,10,RandomForest,ACD,δ13C coll_δ13C carb_δ18O carb,0.4260349482531951,2.1555217855021835
combination_2_ABCDE,A,10,RandomForest_MICE,ACD,δ13C coll_δ13C carb_δ18O carb,0.43520714285714224,2.200178552082933
combination_2_ABCDE,A,10,HybridKNN_RF,ACD,δ13C coll_δ13C carb_δ18O carb,0.42245428571428567,2.135082302269967
combination_2_ABCDE,A,10,KNN,ACE,δ13C coll_δ13C carb_δ18O phos,0.3686571428571425,1.8633653262047212
combination_2_ABCDE,A,10,SVM,ACE,δ13C coll_δ13C carb_δ18O phos,0.34623304522855863,1.7509903446681023
combination_2_ABCDE,A,10,RandomForest,ACE,δ13C coll_δ13C carb_δ18O phos,0.423008112335247,2.140301297635394
combination_2_ABCDE,A,10,RandomForest_MICE,ACE,δ13C coll_δ13C carb_δ18O phos,0.4005642857142854,2.023661126027523
combination_2_ABCDE,A,10,HybridKNN_RF,ACE,δ13C coll_δ13C carb_δ18O phos,0.397706428571429,2.0074038140279025
combination_2_ABCDE,A,10,KNN,ADE,δ13C coll_δ18O carb_δ18O phos,0.3890357142857139,1.9699932103697377
combination_2_ABCDE,A,10,SVM,ADE,δ13C coll_δ18O carb_δ18O phos,0.34774172799148756,1.7556897855931919
combination_2_ABCDE,A,10,RandomForest,ADE,δ13C coll_δ18O carb_δ18O phos,0.42183556156664015,2.132876667597624
combination_2_ABCDE,A,10,RandomForest_MICE,ADE,δ13C coll_δ18O carb_δ18O phos,0.4134321428571435,2.085994140302161
combination_2_ABCDE,A,10,HybridKNN_RF,ADE,δ13C coll_δ18O carb_δ18O phos,0.40899499999999983,2.063518536770381
combination_2_ABCDE,A,10,KNN,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,0.3695071428571424,1.8726319609959805
combination_2_ABCDE,A,10,SVM,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,0.33658220690896296,1.7038151025592412
combination_2_ABCDE,A,10,RandomForest,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,0.3878800233593447,1.959660884842214
combination_2_ABCDE,A,10,RandomForest_MICE,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,0.3924885714285703,1.9830584408324565
combination_2_ABCDE,A,10,HybridKNN_RF,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,0.39315500000000075,1.9850456815411142
combination_2_ABCDE,A,10,KNN,ABCE,δ13C coll_δ15N coll_δ13C carb_δ18O phos,0.3471428571428568,1.7597876114029531
combination_2_ABCDE,A,10,SVM,ABCE,δ13C coll_δ15N coll_δ13C carb_δ18O phos,0.3288430178367573,1.6625649715041202
combination_2_ABCDE,A,10,RandomForest,ABCE,δ13C coll_δ15N coll_δ13C carb_δ18O phos,0.3899191899074306,1.9682165946585415
combination_2_ABCDE,A,10,RandomForest_MICE,ABCE,δ13C coll_δ15N coll_δ13C carb_δ18O phos,0.4148485714285727,2.0947816368528143
combination_2_ABCDE,A,10,HybridKNN_RF,ABCE,δ13C coll_δ15N coll_δ13C carb_δ18O phos,0.4070142857142868,2.0566797940566426
combination_2_ABCDE,A,10,KNN,ABDE,δ13C coll_δ15N coll_δ18O carb_δ18O phos,0.3625214285714278,1.8387140497853256
combination_2_ABCDE,A,10,SVM,ABDE,δ13C coll_δ15N coll_δ18O carb_δ18O phos,0.33595387365717044,1.699011222535372
combination_2_ABCDE,A,10,RandomForest,ABDE,δ13C coll_δ15N coll_δ18O carb_δ18O phos,0.4039517034735215,2.041102460522926
combination_2_ABCDE,A,10,RandomForest_MICE,ABDE,δ13C coll_δ15N coll_δ18O carb_δ18O phos,0.4041985714285724,2.0410159723027093
combination_2_ABCDE,A,10,HybridKNN_RF,ABDE,δ13C coll_δ15N coll_δ18O carb_δ18O phos,0.4146214285714298,2.091489899369175
combination_2_ABCDE,A,10,KNN,ACDE,δ13C coll_δ13C carb_δ18O carb_δ18O phos,0.3665214285714278,1.853364482800115
combination_2_ABCDE,A,10,SVM,ACDE,δ13C coll_δ13C carb_δ18O carb_δ18O phos,0.3304782735252559,1.6710259271753973
combination_2_ABCDE,A,10,RandomForest,ACDE,δ13C coll_δ13C carb_δ18O carb_δ18O phos,0.4221116018168424,2.1345071076307685
combination_2_ABCDE,A,10,RandomForest_MICE,ACDE,δ13C coll_δ13C carb_δ18O carb_δ18O phos,0.4238228571428563,2.1389297958685893
combination_2_ABCDE,A,10,HybridKNN_RF,ACDE,δ13C coll_δ13C carb_δ18O carb_δ18O phos,0.4356449999999993,2.1976174268818087
combination_2_ABCDE,A,10,KNN,ABCDE,δ13C coll_δ15N coll_δ13C carb_δ18O carb_δ18O phos,0.33470714285714254,1.6959528616979735
combination_2_ABCDE,A,10,SVM,ABCDE,δ13C coll_δ15N coll_δ13C carb_δ18O carb_δ18O phos,0.3286651231805112,1.659718406276974
combination_2_ABCDE,A,10,RandomForest,ABCDE,δ13C coll_δ15N coll_δ13C carb_δ18O carb_δ18O phos,0.40174961271443344,2.029768076826447
combination_2_ABCDE,A,10,RandomForest_MICE,ABCDE,δ13C coll_δ15N coll_δ13C carb_δ18O carb_δ18O phos,0.39735999999999944,2.005716845251018
combination_2_ABCDE,A,10,HybridKNN_RF,ABCDE,δ13C coll_δ15N coll_δ13C carb_δ18O carb_δ18O phos,0.3929585714285705,1.982119316549877
combination_2_ABCDE,A,15,KNN,A,δ13C coll,0.3939244755244748,2.00212008752055
combination_2_ABCDE,A,15,SVM,A,δ13C coll,0.3533839975353451,1.799342480016938
combination_2_ABCDE,A,15,RandomForest,A,δ13C coll,0.4197629797763741,2.1352555498060917
combination_2_ABCDE,A,15,RandomForest_MICE,A,δ13C coll,0.42258845376845516,2.149050685000435
combination_2_ABCDE,A,15,HybridKNN_RF,A,δ13C coll,0.41707597513597544,2.1216243024354
combination_2_ABCDE,A,15,KNN,AB,δ13C coll_δ15N coll,0.40072913752913697,2.039218422141416
combination_2_ABCDE,A,15,SVM,AB,δ13C coll_δ15N coll,0.36889608277344776,1.879077520593891
combination_2_ABCDE,A,15,RandomForest,AB,δ13C coll_δ15N coll,0.42439564635156773,2.1597583797338653
combination_2_ABCDE,A,15,RandomForest_MICE,AB,δ13C coll_δ15N coll,0.4329475990676014,2.2020847825346657
combination_2_ABCDE,A,15,HybridKNN_RF,AB,δ13C coll_δ15N coll,0.41754683760683875,2.124798106807364
combination_2_ABCDE,A,15,KNN,AC,δ13C coll_δ13C carb,0.39402533022532954,2.001291610008038
combination_2_ABCDE,A,15,SVM,AC,δ13C coll_δ13C carb,0.35127214582750155,1.790272559751714
combination_2_ABCDE,A,15,RandomForest,AC,δ13C coll_δ13C carb,0.403793279008934,2.053786817579753
combination_2_ABCDE,A,15,RandomForest_MICE,AC,δ13C coll_δ13C carb,0.40716755244755287,2.073278564735064
combination_2_ABCDE,A,15,HybridKNN_RF,AC,δ13C coll_δ13C carb,0.40975299145299154,2.085731033565626
combination_2_ABCDE,A,15,KNN,AD,δ13C coll_δ18O carb,0.38833519813519735,1.97421876277743
combination_2_ABCDE,A,15,SVM,AD,δ13C coll_δ18O carb,0.3646412787029496,1.8551916920767013
combination_2_ABCDE,A,15,RandomForest,AD,δ13C coll_δ18O carb,0.4223338610767306,2.1481676490574086
combination_2_ABCDE,A,15,RandomForest_MICE,AD,δ13C coll_δ18O carb,0.43484955710955886,2.2118320262554123
combination_2_ABCDE,A,15,HybridKNN_RF,AD,δ13C coll_δ18O carb,0.41060175602175697,2.0871196839459
combination_2_ABCDE,A,15,KNN,AE,δ13C coll_δ18O phos,0.37996596736596694,1.9333415730742138
combination_2_ABCDE,A,15,SVM,AE,δ13C coll_δ18O phos,0.3547440994472415,1.8076114323899417
combination_2_ABCDE,A,15,RandomForest,AE,δ13C coll_δ18O phos,0.4212882805079917,2.1444847696286042
combination_2_ABCDE,A,15,RandomForest_MICE,AE,δ13C coll_δ18O phos,0.4307984926184951,2.193089509492739
combination_2_ABCDE,A,15,HybridKNN_RF,AE,δ13C coll_δ18O phos,0.4273740170940199,2.1755874959142103
combination_2_ABCDE,A,15,KNN,ABC,δ13C coll_δ15N coll_δ13C carb,0.406854545454545,2.0714073567814246
combination_2_ABCDE,A,15,SVM,ABC,δ13C coll_δ15N coll_δ13C carb,0.36208599900548327,1.8464887836979802
combination_2_ABCDE,A,15,RandomForest,ABC,δ13C coll_δ15N coll_δ13C carb,0.39932324857549667,2.0318320337433917
combination_2_ABCDE,A,15,RandomForest_MICE,ABC,δ13C coll_δ15N coll_δ13C carb,0.4278293550893556,2.1803464836828135
combination_2_ABCDE,A,15,HybridKNN_RF,ABC,δ13C coll_δ15N coll_δ13C carb,0.390839160839162,1.9890330231797235
combination_2_ABCDE,A,15,KNN,ABD,δ13C coll_δ15N coll_δ18O carb,0.40266666666666645,2.0502885684525416
combination_2_ABCDE,A,15,SVM,ABD,δ13C coll_δ15N coll_δ18O carb,0.36730361311466175,1.8711176710299326
