Combination,Feature,Percentage,Algorithm,FeatureSet,TranslatedFeatureSet,MAE,MAPE
combination_1_ABCD,A,10,KNN,A,δ13C coll,0.6824224305106661,3.639936704351539
combination_1_ABCD,A,10,SVM,A,δ13C coll,0.7975447670927555,4.415523155656443
combination_1_ABCD,A,10,RandomForest,A,δ13C coll,0.7013523123794192,3.7345000261638406
combination_1_ABCD,A,10,RandomForest_MICE,A,δ13C coll,0.7285698717948714,3.8763206979193505
combination_1_ABCD,A,10,HybridKNN_RF,A,δ13C coll,0.7026055214393436,3.7458356634601366
combination_1_ABCD,A,10,KNN,AB,δ13C coll_δ15N coll,1.0021784529196291,5.68584902762438
combination_1_ABCD,A,10,SVM,AB,δ13C coll_δ15N coll,0.9439823091046513,5.279192630567726
combination_1_ABCD,A,10,RandomForest,AB,δ13C coll_δ15N coll,0.860029274589402,4.547592378286855
combination_1_ABCD,A,10,RandomForest_MICE,AB,δ13C coll_δ15N coll,0.7833320997629825,4.064973989274188
combination_1_ABCD,A,10,HybridKNN_RF,AB,δ13C coll_δ15N coll,0.7219267377720311,3.8077756017170756
combination_1_ABCD,A,10,KNN,AC,δ13C coll_δ13C carb,0.7671202111613877,4.16194314600048
combination_1_ABCD,A,10,SVM,AC,δ13C coll_δ13C carb,0.8574241793961781,4.819549977220016
combination_1_ABCD,A,10,RandomForest,AC,δ13C coll_δ13C carb,0.7534238017902192,4.073225556496614
combination_1_ABCD,A,10,RandomForest_MICE,AC,δ13C coll_δ13C carb,0.7584302036199102,4.050440647906953
combination_1_ABCD,A,10,HybridKNN_RF,AC,δ13C coll_δ13C carb,0.7945835347985348,4.260072791195812
combination_1_ABCD,A,10,KNN,AD,δ13C coll_δ18O carb,0.6973479745744452,3.7473971525996093
combination_1_ABCD,A,10,SVM,AD,δ13C coll_δ18O carb,0.8442785079603897,4.6757472533860405
combination_1_ABCD,A,10,RandomForest,AD,δ13C coll_δ18O carb,0.7000316987445727,3.723338390292139
combination_1_ABCD,A,10,RandomForest_MICE,AD,δ13C coll_δ18O carb,0.7162396186166781,3.8064977849589234
combination_1_ABCD,A,10,HybridKNN_RF,AD,δ13C coll_δ18O carb,0.7277252036199114,3.8742821676174932
combination_1_ABCD,A,10,KNN,ABC,δ13C coll_δ15N coll_δ13C carb,1.152445001077354,6.559773553622196
combination_1_ABCD,A,10,SVM,ABC,δ13C coll_δ15N coll_δ13C carb,0.9350985293991142,5.234855505859526
combination_1_ABCD,A,10,RandomForest,ABC,δ13C coll_δ15N coll_δ13C carb,0.8848911116452772,4.667816741770947
combination_1_ABCD,A,10,RandomForest_MICE,ABC,δ13C coll_δ15N coll_δ13C carb,0.7584532934712331,3.981947389427345
combination_1_ABCD,A,10,HybridKNN_RF,ABC,δ13C coll_δ15N coll_δ13C carb,0.8453670609782356,4.648957839815052
combination_1_ABCD,A,10,KNN,ABD,δ13C coll_δ15N coll_δ18O carb,1.0938638332255977,6.168676155549336
combination_1_ABCD,A,10,SVM,ABD,δ13C coll_δ15N coll_δ18O carb,0.9240523084512425,5.184733313154271
combination_1_ABCD,A,10,RandomForest,ABD,δ13C coll_δ15N coll_δ18O carb,0.8693507831207856,4.589941778552644
combination_1_ABCD,A,10,RandomForest_MICE,ABD,δ13C coll_δ15N coll_δ18O carb,0.7644986554621859,3.9842117614290466
combination_1_ABCD,A,10,HybridKNN_RF,ABD,δ13C coll_δ15N coll_δ18O carb,0.7219742167636278,3.811065540260266
combination_1_ABCD,A,10,KNN,ACD,δ13C coll_δ13C carb_δ18O carb,0.7801047834518424,4.240894116011316
combination_1_ABCD,A,10,SVM,ACD,δ13C coll_δ13C carb_δ18O carb,0.8530604830062938,4.802935982542938
combination_1_ABCD,A,10,RandomForest,ACD,δ13C coll_δ13C carb_δ18O carb,0.7344345766007401,3.9669743615231723
combination_1_ABCD,A,10,RandomForest_MICE,ACD,δ13C coll_δ13C carb_δ18O carb,0.8199949838396894,4.432747540802042
combination_1_ABCD,A,10,HybridKNN_RF,ACD,δ13C coll_δ13C carb_δ18O carb,0.8131615901745315,4.402038199640202
combination_1_ABCD,A,10,KNN,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,1.2260484055160528,6.998774749767607
combination_1_ABCD,A,10,SVM,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,0.8801387878983864,4.871863872810015
combination_1_ABCD,A,10,RandomForest,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,0.8898300636073173,4.7137405715316465
combination_1_ABCD,A,10,RandomForest_MICE,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,0.7872019069166127,4.128361729621123
combination_1_ABCD,A,10,HybridKNN_RF,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,0.8190552348631753,4.460919586082864
combination_1_ABCD,A,15,KNN,A,δ13C coll,0.6957803957154554,3.7190070506938033
combination_1_ABCD,A,15,SVM,A,δ13C coll,0.7844064078726513,4.325834121126608
combination_1_ABCD,A,15,RandomForest,A,δ13C coll,0.7042844676087506,3.6957783767299874
combination_1_ABCD,A,15,RandomForest_MICE,A,δ13C coll,0.7053380482631375,3.6863456234813747
combination_1_ABCD,A,15,HybridKNN_RF,A,δ13C coll,0.7049595313441881,3.6935808826803056
combination_1_ABCD,A,15,KNN,AB,δ13C coll_δ15N coll,1.1563394903448923,6.585774852354549
combination_1_ABCD,A,15,SVM,AB,δ13C coll_δ15N coll,0.9320970281761529,5.1852820429644755
combination_1_ABCD,A,15,RandomForest,AB,δ13C coll_δ15N coll,0.9199728524816335,4.787195877761095
combination_1_ABCD,A,15,RandomForest_MICE,AB,δ13C coll_δ15N coll,0.8171030416366083,4.189683326462019
combination_1_ABCD,A,15,HybridKNN_RF,AB,δ13C coll_δ15N coll,0.7563997143744486,3.9227555225991133
combination_1_ABCD,A,15,KNN,AC,δ13C coll_δ13C carb,0.7742365355271514,4.19142237887325
combination_1_ABCD,A,15,SVM,AC,δ13C coll_δ13C carb,0.8177222987417467,4.545071040136106
combination_1_ABCD,A,15,RandomForest,AC,δ13C coll_δ13C carb,0.7686650652171958,4.073851035735732
combination_1_ABCD,A,15,RandomForest_MICE,AC,δ13C coll_δ13C carb,0.7707336746131098,4.051083871262188
combination_1_ABCD,A,15,HybridKNN_RF,AC,δ13C coll_δ13C carb,0.7590291134360577,3.989745615671919
combination_1_ABCD,A,15,KNN,AD,δ13C coll_δ18O carb,0.6927321827218484,3.699670426531255
combination_1_ABCD,A,15,SVM,AD,δ13C coll_δ18O carb,0.8038199724338702,4.443828019111943
combination_1_ABCD,A,15,RandomForest,AD,δ13C coll_δ18O carb,0.7190067315989312,3.7770818798846606
combination_1_ABCD,A,15,RandomForest_MICE,AD,δ13C coll_δ18O carb,0.7311932345123079,3.831254199259019
combination_1_ABCD,A,15,HybridKNN_RF,AD,δ13C coll_δ18O carb,0.7186644752532289,3.7695106540319103
combination_1_ABCD,A,15,KNN,ABC,δ13C coll_δ15N coll_δ13C carb,1.2932286255314973,7.347926207127678
combination_1_ABCD,A,15,SVM,ABC,δ13C coll_δ15N coll_δ13C carb,0.951592491130049,5.286859041872228
combination_1_ABCD,A,15,RandomForest,ABC,δ13C coll_δ15N coll_δ13C carb,0.9303846726794636,4.8159736384234755
combination_1_ABCD,A,15,RandomForest_MICE,ABC,δ13C coll_δ15N coll_δ13C carb,0.8535231426143591,4.38333307809648
combination_1_ABCD,A,15,HybridKNN_RF,ABC,δ13C coll_δ15N coll_δ13C carb,0.8543870034820283,4.504558325012772
combination_1_ABCD,A,15,KNN,ABD,δ13C coll_δ15N coll_δ18O carb,1.226897575304664,6.962670779816184
combination_1_ABCD,A,15,SVM,ABD,δ13C coll_δ15N coll_δ18O carb,0.9187216108568361,5.129723649238858
combination_1_ABCD,A,15,RandomForest,ABD,δ13C coll_δ15N coll_δ18O carb,0.9133528168638156,4.770357022029211
combination_1_ABCD,A,15,RandomForest_MICE,ABD,δ13C coll_δ15N coll_δ18O carb,0.8716757667741806,4.449735699358004
combination_1_ABCD,A,15,HybridKNN_RF,ABD,δ13C coll_δ15N coll_δ18O carb,0.7408012438466024,3.8196348780854223
combination_1_ABCD,A,15,KNN,ACD,δ13C coll_δ13C carb_δ18O carb,0.7530523105507947,4.073310951843545
combination_1_ABCD,A,15,SVM,ACD,δ13C coll_δ13C carb_δ18O carb,0.8107443677045332,4.525453264177964
combination_1_ABCD,A,15,RandomForest,ACD,δ13C coll_δ13C carb_δ18O carb,0.7530824787053382,4.0008759744504125
combination_1_ABCD,A,15,RandomForest_MICE,ACD,δ13C coll_δ13C carb_δ18O carb,0.7623969960629025,4.00656397448086
combination_1_ABCD,A,15,HybridKNN_RF,ACD,δ13C coll_δ13C carb_δ18O carb,0.7493748310908808,3.9670204402750633
combination_1_ABCD,A,15,KNN,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,1.3137418925024775,7.4760210095047155
combination_1_ABCD,A,15,SVM,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,0.8883509418975635,4.883132680963041
combination_1_ABCD,A,15,RandomForest,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,0.9507629078275259,5.010597278401417
combination_1_ABCD,A,15,RandomForest_MICE,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,0.9007769928925219,4.768625438760725
combination_1_ABCD,A,15,HybridKNN_RF,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,0.8582801500431874,4.5832090136709684
combination_1_ABCD,A,20,KNN,A,δ13C coll,0.6750429995929995,3.5856430237945616
combination_1_ABCD,A,20,SVM,A,δ13C coll,0.7705441711827716,4.237512991651039
combination_1_ABCD,A,20,RandomForest,A,δ13C coll,0.702541506467791,3.6653311547736918
combination_1_ABCD,A,20,RandomForest_MICE,A,δ13C coll,0.7017510505398743,3.656363850330794
combination_1_ABCD,A,20,HybridKNN_RF,A,δ13C coll,0.7034451092915802,3.667371039679736
combination_1_ABCD,A,20,KNN,AB,δ13C coll_δ15N coll,1.1271098685628096,6.339607852632123
combination_1_ABCD,A,20,SVM,AB,δ13C coll_δ15N coll,0.9844905086975535,5.438856384816056
combination_1_ABCD,A,20,RandomForest,AB,δ13C coll_δ15N coll,0.9416527631595143,4.855663592977592
combination_1_ABCD,A,20,RandomForest_MICE,AB,δ13C coll_δ15N coll,0.8524078695922823,4.345500587608068
combination_1_ABCD,A,20,HybridKNN_RF,AB,δ13C coll_δ15N coll,0.7521030218583166,3.9030535249311717
combination_1_ABCD,A,20,KNN,AC,δ13C coll_δ13C carb,0.7615644485144485,4.087687108669889
combination_1_ABCD,A,20,SVM,AC,δ13C coll_δ13C carb,0.8013094796165982,4.429645442054519
combination_1_ABCD,A,20,RandomForest,AC,δ13C coll_δ13C carb,0.7237582297345017,3.7927772934275623
combination_1_ABCD,A,20,RandomForest_MICE,AC,δ13C coll_δ13C carb,0.7365007539084016,3.856450075949975
combination_1_ABCD,A,20,HybridKNN_RF,AC,δ13C coll_δ13C carb,0.7436297662141796,3.9093427081371805
combination_1_ABCD,A,20,KNN,AD,δ13C coll_δ18O carb,0.6625596123919651,3.503694832587332
combination_1_ABCD,A,20,SVM,AD,δ13C coll_δ18O carb,0.7798646817271608,4.2838132982702914
combination_1_ABCD,A,20,RandomForest,AD,δ13C coll_δ18O carb,0.6969693937946171,3.6398533557349735
combination_1_ABCD,A,20,RandomForest_MICE,AD,δ13C coll_δ18O carb,0.7001781318681336,3.649918937189407
combination_1_ABCD,A,20,HybridKNN_RF,AD,δ13C coll_δ18O carb,0.7091845069309799,3.7102061525272374
combination_1_ABCD,A,20,KNN,ABC,δ13C coll_δ15N coll_δ13C carb,1.3278492195168663,7.4365529854219945
combination_1_ABCD,A,20,SVM,ABC,δ13C coll_δ15N coll_δ13C carb,1.0237885881893907,5.703930064277665
combination_1_ABCD,A,20,RandomForest,ABC,δ13C coll_δ15N coll_δ13C carb,1.0418908326690057,5.372527580696998
combination_1_ABCD,A,20,RandomForest_MICE,ABC,δ13C coll_δ15N coll_δ13C carb,0.9487157967631509,4.971636199658304
