Combination,Feature,Percentage,Algorithm,FeatureSet,TranslatedFeatureSet,MAE,MAPE
combination_1_ABCD,A,10,KNN,A,δ13C coll,1.2043500000000003,8.071541792034825
combination_1_ABCD,A,10,SVM,A,δ13C coll,1.2363537033584577,8.30397110966275
combination_1_ABCD,A,10,RandomForest,A,δ13C coll,1.1121166666666635,7.56527955172982
combination_1_ABCD,A,10,RandomForest_MICE,A,δ13C coll,1.1336900000000005,7.764727121511657
combination_1_ABCD,A,10,HybridKNN_RF,A,δ13C coll,1.1108783333333354,7.531201422260563
combination_1_ABCD,A,10,KNN,AB,δ13C coll_δ15N coll,1.237766666666667,8.315966126298738
combination_1_ABCD,A,10,SVM,AB,δ13C coll_δ15N coll,1.297432059659994,8.700510196105098
combination_1_ABCD,A,10,RandomForest,AB,δ13C coll_δ15N coll,1.096517499999996,7.494988706844836
combination_1_ABCD,A,10,RandomForest_MICE,AB,δ13C coll_δ15N coll,1.201676666666669,8.13635256423121
combination_1_ABCD,A,10,HybridKNN_RF,AB,δ13C coll_δ15N coll,1.2562433333333387,8.501115318674275
combination_1_ABCD,A,10,KNN,AC,δ13C coll_δ13C carb,1.2976500000000002,8.676503409160919
combination_1_ABCD,A,10,SVM,AC,δ13C coll_δ13C carb,1.2274612465996644,8.256264677868373
combination_1_ABCD,A,10,RandomForest,AC,δ13C coll_δ13C carb,1.0868616666666582,7.398125561665196
combination_1_ABCD,A,10,RandomForest_MICE,AC,δ13C coll_δ13C carb,1.1163600000000042,7.620887668426836
combination_1_ABCD,A,10,HybridKNN_RF,AC,δ13C coll_δ13C carb,1.0794983333333321,7.3903890149982345
combination_1_ABCD,A,10,KNN,AD,δ13C coll_δ18O carb,1.2092000000000003,8.103356657053057
combination_1_ABCD,A,10,SVM,AD,δ13C coll_δ18O carb,1.1804083712378335,7.933001961419012
combination_1_ABCD,A,10,RandomForest,AD,δ13C coll_δ18O carb,1.060583333333328,7.2010703693062705
combination_1_ABCD,A,10,RandomForest_MICE,AD,δ13C coll_δ18O carb,1.1028933333333348,7.472553290704627
combination_1_ABCD,A,10,HybridKNN_RF,AD,δ13C coll_δ18O carb,1.079816666666669,7.291036615318797
combination_1_ABCD,A,10,KNN,ABC,δ13C coll_δ15N coll_δ13C carb,1.2202333333333335,8.266617628885532
combination_1_ABCD,A,10,SVM,ABC,δ13C coll_δ15N coll_δ13C carb,1.3948035709210642,9.343387133405146
