Combination,Feature,Percentage,Algorithm,FeatureSet,TranslatedFeatureSet,MAE,MAPE,MAE (‰)
combination_1_ABCD,A (δ13C coll),10,KNN,A,δ13C coll,1.2043500000000003,8.071541792034825,-75.17336152219875
combination_1_ABCD,A (δ13C coll),10,SVM,A,δ13C coll,1.2363537033584577,8.30397110966275,-77.1709751416736
combination_1_ABCD,A (δ13C coll),10,RandomForest,A,δ13C coll,1.1121166666666635,7.56527955172982,-69.41632269539227
combination_1_ABCD,A (δ13C coll),10,RandomForest_MICE,A,δ13C coll,1.106253333333335,7.53485437210725,-69.05034397127433
combination_1_ABCD,A (δ13C coll),10,HybridKNN_RF,A,δ13C coll,1.1108783333333354,7.531201422260563,-69.33902815530736
combination_1_ABCD,A (δ13C coll),10,KNN,AB,δ13C coll_δ15N coll,1.237766666666667,8.315966126298738,-77.2591697707977
combination_1_ABCD,A (δ13C coll),10,SVM,AB,δ13C coll_δ15N coll,1.297432059659994,8.700510196105098,-80.9833763202654
combination_1_ABCD,A (δ13C coll),10,RandomForest,AB,δ13C coll_δ15N coll,1.096517499999996,7.494988706844836,-68.44265076009239
combination_1_ABCD,A (δ13C coll),10,RandomForest_MICE,AB,δ13C coll_δ15N coll,1.2124466666666687,8.177459800189187,-75.67874089734568
combination_1_ABCD,A (δ13C coll),10,HybridKNN_RF,AB,δ13C coll_δ15N coll,1.2562433333333387,8.501115318674275,-78.41245008221787
combination_1_ABCD,A (δ13C coll),10,KNN,AC,δ13C coll_δ13C carb,1.2976500000000002,8.676503409160919,-80.99697976442165
combination_1_ABCD,A (δ13C coll),10,SVM,AC,δ13C coll_δ13C carb,1.2274612465996644,8.256264677868373,-76.61592397984415
combination_1_ABCD,A (δ13C coll),10,RandomForest,AC,δ13C coll_δ13C carb,1.0868616666666582,7.398125561665196,-67.83995100506677
combination_1_ABCD,A (δ13C coll),10,RandomForest_MICE,AC,δ13C coll_δ13C carb,1.1138016666666648,7.59396060387473,-69.5214973656833
combination_1_ABCD,A (δ13C coll),10,HybridKNN_RF,AC,δ13C coll_δ13C carb,1.0794983333333321,7.3903890149982345,-67.38034497801932
combination_1_ABCD,A (δ13C coll),10,KNN,AD,δ13C coll_δ18O carb,1.2092000000000003,8.103356657053057,-75.47608980167122
combination_1_ABCD,A (δ13C coll),10,SVM,AD,δ13C coll_δ18O carb,1.1804083712378335,7.933001961419012,-73.67896810303603
combination_1_ABCD,A (δ13C coll),10,RandomForest,AD,δ13C coll_δ18O carb,1.060583333333328,7.2010703693062705,-66.19970468807645
combination_1_ABCD,A (δ13C coll),10,RandomForest_MICE,AD,δ13C coll_δ18O carb,1.0972216666666685,7.451653248245622,-68.48660357730138
combination_1_ABCD,A (δ13C coll),10,HybridKNN_RF,AD,δ13C coll_δ18O carb,1.079816666666669,7.291036615318797,-67.40021477230795
combination_1_ABCD,A (δ13C coll),10,KNN,ABC,δ13C coll_δ15N coll_δ13C carb,1.2202333333333335,8.266617628885532,-76.16477062988693
combination_1_ABCD,A (δ13C coll),10,SVM,ABC,δ13C coll_δ15N coll_δ13C carb,1.3948035709210642,9.343387133405146,-87.06113097463606
combination_1_ABCD,A (δ13C coll),10,RandomForest,ABC,δ13C coll_δ15N coll_δ13C carb,1.088872916666665,7.444340429738307,-67.96548961374533
combination_1_ABCD,A (δ13C coll),10,RandomForest_MICE,ABC,δ13C coll_δ15N coll_δ13C carb,1.267725000000001,8.56855937920265,-79.12911507097562
combination_1_ABCD,A (δ13C coll),10,HybridKNN_RF,ABC,δ13C coll_δ15N coll_δ13C carb,1.2582683333333369,8.519111108500997,-78.53884694117275
combination_1_ABCD,A (δ13C coll),10,KNN,ABD,δ13C coll_δ15N coll_δ18O carb,1.2460166666666668,8.369521009419596,-77.77411993691065
combination_1_ABCD,A (δ13C coll),10,SVM,ABD,δ13C coll_δ15N coll_δ18O carb,1.3238243109741163,8.835681009465798,-82.63073319278689
combination_1_ABCD,A (δ13C coll),10,RandomForest,ABD,δ13C coll_δ15N coll_δ18O carb,1.1008074999999986,7.471105614932266,-68.71042484647127
combination_1_ABCD,A (δ13C coll),10,RandomForest_MICE,ABD,δ13C coll_δ15N coll_δ18O carb,1.158295000000003,7.814155765718293,-72.29869123124956
combination_1_ABCD,A (δ13C coll),10,HybridKNN_RF,ABD,δ13C coll_δ15N coll_δ18O carb,1.1580916666666687,7.83009680538395,-72.28599953018572
combination_1_ABCD,A (δ13C coll),10,KNN,ACD,δ13C coll_δ13C carb_δ18O carb,1.3329,8.960983966550678,-83.1972213832679
combination_1_ABCD,A (δ13C coll),10,SVM,ACD,δ13C coll_δ13C carb_δ18O carb,1.2792775906337468,8.548628327222769,-79.85020700623407
combination_1_ABCD,A (δ13C coll),10,RandomForest,ACD,δ13C coll_δ13C carb_δ18O carb,1.0648816666666605,7.222799053084462,-66.46799892613808
combination_1_ABCD,A (δ13C coll),10,RandomForest_MICE,ACD,δ13C coll_δ13C carb_δ18O carb,1.0798483333333329,7.3528162215452895,-67.40219134870296
combination_1_ABCD,A (δ13C coll),10,HybridKNN_RF,ACD,δ13C coll_δ13C carb_δ18O carb,1.0124366666666675,6.926420911767641,-63.19447632470894
combination_1_ABCD,A (δ13C coll),10,KNN,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,1.1973666666666667,8.076443636007287,-74.73747441189302
