Combination,Feature,Percentage,Algorithm,Min MAE,FeatureSet Removal Scenario
combination_1_ABCD,A,10,KNN,0.6210927822177823,AD
combination_1_ABCD,A,10,BayesianRidge,0.6366770122833634,ACD
combination_1_ABCD,A,10,RandomForest,0.6071259790209796,A
combination_1_ABCD,A,15,KNN,0.5964127272727271,A
combination_1_ABCD,A,15,BayesianRidge,0.612574174514768,AC
combination_1_ABCD,A,15,RandomForest,0.6348218888888914,AD
combination_1_ABCD,A,20,KNN,0.57135,AD
combination_1_ABCD,A,20,BayesianRidge,0.6121493636561265,A
combination_1_ABCD,A,20,RandomForest,0.6305857843137275,AD
combination_1_ABCD,B,10,KNN,1.1613095404595406,B
combination_1_ABCD,B,10,BayesianRidge,1.0741551130916034,ABC
combination_1_ABCD,B,10,RandomForest,1.1394667332667328,BC
combination_1_ABCD,B,15,KNN,1.149072121212121,BD
combination_1_ABCD,B,15,BayesianRidge,1.1947491319672099,ABD
combination_1_ABCD,B,15,RandomForest,1.114902497474747,B
combination_1_ABCD,B,20,KNN,1.2523710784313724,BCD
combination_1_ABCD,B,20,BayesianRidge,1.3691063927106588,ABC
combination_1_ABCD,B,20,RandomForest,1.1460623627450972,B
combination_1_ABCD,C,10,KNN,1.2162186507936508,ABC
combination_1_ABCD,C,10,BayesianRidge,1.5062969021994057,C
combination_1_ABCD,C,10,RandomForest,1.3786418722943719,ABC
combination_1_ABCD,C,15,KNN,1.2836340476190475,ABC
combination_1_ABCD,C,15,BayesianRidge,1.4951806430100187,C
combination_1_ABCD,C,15,RandomForest,1.3916574285714298,ABC
combination_1_ABCD,C,20,KNN,1.3658715909090908,ABC
combination_1_ABCD,C,20,BayesianRidge,1.4781193008194162,CD
combination_1_ABCD,C,20,RandomForest,1.3910437475024977,AC
combination_1_ABCD,D,10,KNN,0.7561553846153848,BD
combination_1_ABCD,D,10,BayesianRidge,0.7301914722684988,CD
combination_1_ABCD,D,10,RandomForest,0.7960136538461534,AD
combination_1_ABCD,D,15,KNN,0.7882397303350246,BD
combination_1_ABCD,D,15,BayesianRidge,0.8031180622227232,BD
combination_1_ABCD,D,15,RandomForest,0.796592879564879,BD
combination_1_ABCD,D,20,KNN,0.8122729437229438,ABD
combination_1_ABCD,D,20,BayesianRidge,0.8204909254701207,BD
combination_1_ABCD,D,20,RandomForest,0.8618345188145188,AD
combination_2_ABCDE,A,10,KNN,0.5645031385281388,AD
combination_2_ABCDE,A,10,BayesianRidge,0.6438057981828982,ADE
combination_2_ABCDE,A,10,RandomForest,0.5174412445887457,ABC
combination_2_ABCDE,A,15,KNN,0.5569667023172905,ADE
combination_2_ABCDE,A,15,BayesianRidge,0.658233749541229,ADE
combination_2_ABCDE,A,15,RandomForest,0.5812288074866291,ADE
combination_2_ABCDE,A,20,KNN,0.5708852730087249,AD
combination_2_ABCDE,A,20,BayesianRidge,0.6498707608152142,A
combination_2_ABCDE,A,20,RandomForest,0.619324725959285,ABD
combination_2_ABCDE,B,10,KNN,1.2030747835497835,BCDE
combination_2_ABCDE,B,10,BayesianRidge,1.3294995515088002,ABC
combination_2_ABCDE,B,10,RandomForest,1.1919681025641022,ABDE
combination_2_ABCDE,B,15,KNN,1.272131907308378,BCDE
combination_2_ABCDE,B,15,BayesianRidge,1.3369195358494772,BE
combination_2_ABCDE,B,15,RandomForest,1.1536370285204984,BDE
combination_2_ABCDE,B,20,KNN,1.295789910404353,BDE
combination_2_ABCDE,B,20,BayesianRidge,1.3842539497990756,BE
combination_2_ABCDE,B,20,RandomForest,1.160289999014917,BE
combination_2_ABCDE,C,10,KNN,1.3599661538461538,AC
combination_2_ABCDE,C,10,BayesianRidge,1.4620633618861112,BC
combination_2_ABCDE,C,10,RandomForest,1.410693397435898,ACE
combination_2_ABCDE,C,15,KNN,1.3434434937611406,CDE
combination_2_ABCDE,C,15,BayesianRidge,1.4518871235636968,CE
combination_2_ABCDE,C,15,RandomForest,1.308859443850267,CDE
combination_2_ABCDE,C,20,KNN,1.3910123168214654,C
