Combination,Feature,Percentage,Algorithm,Min RMSE,Min NRMSE,Min MAE,FeatureSet Removal Scenario
combination_1_ABCD,A,10,KNN,0.2568997729186188,0.04460065502059354,0.060180769230769246,AD
combination_1_ABCD,A,10,BayesianRidge,0.2664673281503188,0.04626168891498589,0.0625775903220304,ACD
combination_1_ABCD,A,10,RandomForest,0.24438145545073664,0.042427336015752874,0.05814711538461544,A
combination_1_ABCD,A,15,KNN,0.30270271937648785,0.0525525554473069,0.08834230769230769,AD
combination_1_ABCD,A,15,BayesianRidge,0.31279122195840975,0.054304031590001675,0.09062609694145471,ACD
combination_1_ABCD,A,15,RandomForest,0.32755311428511036,0.056866860118942764,0.09309538461538507,AD
combination_1_ABCD,A,20,KNN,0.35180988990652645,0.061078105886549716,0.11654807692307693,AD
combination_1_ABCD,A,20,BayesianRidge,0.37601896499745313,0.06528107031205783,0.12525689799062273,AC
combination_1_ABCD,A,20,RandomForest,0.3818375347115669,0.06629123866520256,0.1292123076923081,AD
combination_1_ABCD,B,10,KNN,0.5048889707979549,0.06082999648168132,0.1110596153846154,BD
combination_1_ABCD,B,10,BayesianRidge,0.4852102273496059,0.05845906353609709,0.12385459111667241,B
combination_1_ABCD,B,10,RandomForest,0.48090329729727355,0.05794015630087632,0.11188980769230761,BC
combination_1_ABCD,B,15,KNN,0.5892972400101141,0.07099966747109807,0.16463846153846157,BD
combination_1_ABCD,B,15,BayesianRidge,0.5977974274146148,0.07202378643549576,0.19041687203264956,BD
combination_1_ABCD,B,15,RandomForest,0.555990605453101,0.06698681993410853,0.1610096153846154,BD
combination_1_ABCD,B,20,KNN,0.7148449132543889,0.08612589316317937,0.25102499999999994,BCD
combination_1_ABCD,B,20,BayesianRidge,0.7298778166983346,0.08793708634919692,0.2770231503438966,BCD
combination_1_ABCD,B,20,RandomForest,0.6688008419265135,0.08057841468994138,0.23155673076923078,BC
combination_1_ABCD,C,10,KNN,0.42840284403059625,0.06757142650324861,0.10052884615384616,ABC
combination_1_ABCD,C,10,BayesianRidge,0.5065592208644244,0.07989893073571364,0.13143848285925042,ABC
combination_1_ABCD,C,10,RandomForest,0.4816316785726486,0.07596714173070168,0.11419096153846153,ABC
combination_1_ABCD,C,15,KNN,0.5662762632025045,0.08931802258714583,0.16968269230769234,ABC
combination_1_ABCD,C,15,BayesianRidge,0.6263592577998094,0.09879483561511189,0.20790261315155525,ABC
combination_1_ABCD,C,15,RandomForest,0.6052566724387148,0.09546635211967111,0.18444096153846162,ABC
combination_1_ABCD,C,20,KNN,0.7232620828662772,0.1140791928811163,0.26634038461538456,ABC
combination_1_ABCD,C,20,BayesianRidge,0.7528148482686394,0.11874051234521128,0.2998701337489183,CD
combination_1_ABCD,C,20,RandomForest,0.7634612878433792,0.12041976148949199,0.2871519230769232,ABC
combination_1_ABCD,D,10,KNN,0.34173958664738757,0.05851705250811431,0.08354230769230772,BCD
combination_1_ABCD,D,10,BayesianRidge,0.33668878959483217,0.05765218999911509,0.08641393350356157,ABD
combination_1_ABCD,D,10,RandomForest,0.35899192124587653,0.06147121939141722,0.09105846153846146,ABD
combination_1_ABCD,D,15,KNN,0.3805801316519811,0.06516783076232553,0.1140365384615385,ABD
combination_1_ABCD,D,15,BayesianRidge,0.40215599820792997,0.06886232846026197,0.1188630972683816,ABD
combination_1_ABCD,D,15,RandomForest,0.40462005688891917,0.06928425631659572,0.12374384615384618,ABD
combination_1_ABCD,D,20,KNN,0.44936377884856105,0.07694585254256181,0.15889807692307692,ABD
combination_1_ABCD,D,20,BayesianRidge,0.4676708917126361,0.08008063214257466,0.17273548192426333,BD
combination_1_ABCD,D,20,RandomForest,0.4951666038285764,0.08478880202544117,0.1695782692307691,ACD
combination_2_ABCDE,A,10,KNN,0.24325960066700825,0.04223256956024447,0.0553881188118812,AD
combination_2_ABCDE,A,10,BayesianRidge,0.2631643241348554,0.04568825071785683,0.06335304054243847,ADE
combination_2_ABCDE,A,10,RandomForest,0.21186157225409952,0.03678152296078117,0.050033861386138724,ABC
combination_2_ABCDE,A,15,KNN,0.2863040756363578,0.04970556868686765,0.083209900990099,ADE
combination_2_ABCDE,A,15,BayesianRidge,0.3291576583370946,0.057145426794634455,0.09674916748786959,ADE
combination_2_ABCDE,A,15,RandomForest,0.3017927627571761,0.05239457686756528,0.08801207920792058,ADE
combination_2_ABCDE,A,20,KNN,0.34946896129281824,0.06067169466889204,0.11679405940594059,AD
combination_2_ABCDE,A,20,BayesianRidge,0.3893662208665178,0.06759830223377043,0.13263769120662824,A
combination_2_ABCDE,A,20,RandomForest,0.3770584428346356,0.06546153521434643,0.12665722772277258,ADE
combination_2_ABCDE,B,10,KNN,0.5129774353031152,0.06180451027748375,0.11829504950495047,BCDE
combination_2_ABCDE,B,10,BayesianRidge,0.5188683422150415,0.06251425809819777,0.13338636174523194,BC
combination_2_ABCDE,B,10,RandomForest,0.5159483840639043,0.06216245591131375,0.12428792079207909,BCE
combination_2_ABCDE,B,15,KNN,0.6282506819412919,0.07569285324593876,0.18716633663366333,BCDE
combination_2_ABCDE,B,15,BayesianRidge,0.6209801679229479,0.07481688770155996,0.19579293952112636,BE
combination_2_ABCDE,B,15,RandomForest,0.5951808487751116,0.0717085359970014,0.17366495049504943,BDE
