Combination,Feature,Percentage,Algorithm,Min MAE,FeatureSet,TranslatedFeatureSet
combination_1_ABCD,A,10,KNN,0.6210927822177823,AD,δ13C coll_δ18O carb
combination_1_ABCD,A,10,SVM,0.6905868696452258,ACD,δ13C coll_δ13C carb_δ18O carb
combination_1_ABCD,A,10,RandomForest,0.6071259790209796,A,δ13C coll
combination_1_ABCD,A,15,KNN,0.5964127272727271,A,δ13C coll
combination_1_ABCD,A,15,SVM,0.6674411481209865,ACD,δ13C coll_δ13C carb_δ18O carb
combination_1_ABCD,A,15,RandomForest,0.6348218888888914,AD,δ13C coll_δ18O carb
combination_1_ABCD,A,20,KNN,0.57135,AD,δ13C coll_δ18O carb
combination_1_ABCD,A,20,SVM,0.6480132290906255,AD,δ13C coll_δ18O carb
combination_1_ABCD,A,20,RandomForest,0.6305857843137275,AD,δ13C coll_δ18O carb
combination_1_ABCD,B,10,KNN,1.1613095404595406,B,δ15N coll
combination_1_ABCD,B,10,SVM,1.1462500360330246,AB,δ13C coll_δ15N coll
combination_1_ABCD,B,10,RandomForest,1.1394667332667328,BC,δ15N coll_δ13C carb
combination_1_ABCD,B,15,KNN,1.149072121212121,BD,δ15N coll_δ18O carb
combination_1_ABCD,B,15,SVM,1.2108066324193556,BD,δ15N coll_δ18O carb
combination_1_ABCD,B,15,RandomForest,1.114902497474747,B,δ15N coll
combination_1_ABCD,B,20,KNN,1.2523710784313724,BCD,δ15N coll_δ13C carb_δ18O carb
combination_1_ABCD,B,20,SVM,1.295703072573391,BD,δ15N coll_δ18O carb
combination_1_ABCD,B,20,RandomForest,1.1460623627450972,B,δ15N coll
combination_1_ABCD,C,10,KNN,1.202340945165945,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb
combination_1_ABCD,C,10,SVM,1.2617631467649213,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb
combination_1_ABCD,C,10,RandomForest,1.2657361904761903,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb
combination_1_ABCD,C,15,KNN,1.2836340476190475,ABC,δ13C coll_δ15N coll_δ13C carb
combination_1_ABCD,C,15,SVM,1.3499469780629405,BC,δ15N coll_δ13C carb
combination_1_ABCD,C,15,RandomForest,1.3916574285714298,ABC,δ13C coll_δ15N coll_δ13C carb
combination_1_ABCD,C,20,KNN,1.3658715909090908,ABC,δ13C coll_δ15N coll_δ13C carb
