Combination,Feature,Percentage,Algorithm,FeatureSet,TranslatedFeatureSet,MAE,MAPE
combination_2_ABCDE,A,10,KNN,A,δ13C coll,0.997159047619047,5.7355154755118765
combination_2_ABCDE,A,10,SVM,A,δ13C coll,1.2144946570140664,7.012005664568344
combination_2_ABCDE,A,10,RandomForest,A,δ13C coll,0.9250513250010147,5.030050337386543
combination_2_ABCDE,A,10,RandomForest_MICE,A,δ13C coll,0.9028168095238117,4.853271943320578
combination_2_ABCDE,A,10,HybridKNN_RF,A,δ13C coll,0.9250059285714294,5.013283070390345
combination_2_ABCDE,A,10,KNN,AB,δ13C coll_δ15N coll,1.1379702380952381,6.591471662842852
combination_2_ABCDE,A,10,SVM,AB,δ13C coll_δ15N coll,1.2400365372710858,7.17877181808794
combination_2_ABCDE,A,10,RandomForest,AB,δ13C coll_δ15N coll,0.980196035796164,5.295085977316456
combination_2_ABCDE,A,10,RandomForest_MICE,AB,δ13C coll_δ15N coll,0.9868205952380957,5.308836645187992
combination_2_ABCDE,A,10,HybridKNN_RF,AB,δ13C coll_δ15N coll,1.002995261904762,5.406252388367703
combination_2_ABCDE,A,10,KNN,AC,δ13C coll_δ13C carb,0.9766423809523801,5.628764856074097
combination_2_ABCDE,A,10,SVM,AC,δ13C coll_δ13C carb,1.1977970458180212,6.959326235472394
combination_2_ABCDE,A,10,RandomForest,AC,δ13C coll_δ13C carb,0.8543401455040645,4.584741265527488
combination_2_ABCDE,A,10,RandomForest_MICE,AC,δ13C coll_δ13C carb,0.8294168571428585,4.45784858444418
combination_2_ABCDE,A,10,HybridKNN_RF,AC,δ13C coll_δ13C carb,0.8432294761904771,4.51779698641511
combination_2_ABCDE,A,10,KNN,AD,δ13C coll_δ18O carb,0.9972364285714284,5.738531966451093
combination_2_ABCDE,A,10,SVM,AD,δ13C coll_δ18O carb,1.2193133588107725,7.065251781588193
combination_2_ABCDE,A,10,RandomForest,AD,δ13C coll_δ18O carb,0.9435928583035343,5.114979871377173
combination_2_ABCDE,A,10,RandomForest_MICE,AD,δ13C coll_δ18O carb,0.8870599285714279,4.758338083248502
combination_2_ABCDE,A,10,HybridKNN_RF,AD,δ13C coll_δ18O carb,0.9253377857142858,5.0137990046744205
combination_2_ABCDE,A,10,KNN,AE,δ13C coll_δ18O phos,1.0005971428571425,5.751070282350188
combination_2_ABCDE,A,10,SVM,AE,δ13C coll_δ18O phos,1.2144762678502705,7.051746785293547
combination_2_ABCDE,A,10,RandomForest,AE,δ13C coll_δ18O phos,0.9576933890545274,5.177571750612147
combination_2_ABCDE,A,10,RandomForest_MICE,AE,δ13C coll_δ18O phos,0.8915002142857154,4.7359964359410025
combination_2_ABCDE,A,10,HybridKNN_RF,AE,δ13C coll_δ18O phos,0.9351797619047615,5.061280211223886
combination_2_ABCDE,A,10,KNN,ABC,δ13C coll_δ15N coll_δ13C carb,1.102688333333333,6.474953765172129
combination_2_ABCDE,A,10,SVM,ABC,δ13C coll_δ15N coll_δ13C carb,1.2584771221567037,7.321648875211528
combination_2_ABCDE,A,10,RandomForest,ABC,δ13C coll_δ15N coll_δ13C carb,0.9781351214513412,5.387603757265488
combination_2_ABCDE,A,10,RandomForest_MICE,ABC,δ13C coll_δ15N coll_δ13C carb,1.0734562857142844,5.489717441913035
combination_2_ABCDE,A,10,HybridKNN_RF,ABC,δ13C coll_δ15N coll_δ13C carb,1.0823578095238109,6.054281561806606
combination_2_ABCDE,A,10,KNN,ABD,δ13C coll_δ15N coll_δ18O carb,1.0935349999999997,6.3269365502409105
combination_2_ABCDE,A,10,SVM,ABD,δ13C coll_δ15N coll_δ18O carb,1.2260797495606746,7.152335911826398
combination_2_ABCDE,A,10,RandomForest,ABD,δ13C coll_δ15N coll_δ18O carb,0.955554763317686,5.186003232363655
combination_2_ABCDE,A,10,RandomForest_MICE,ABD,δ13C coll_δ15N coll_δ18O carb,0.9761972857142865,5.261282343035215
combination_2_ABCDE,A,10,HybridKNN_RF,ABD,δ13C coll_δ15N coll_δ18O carb,0.9940698571428589,5.376142083658003
combination_2_ABCDE,A,10,KNN,ABE,δ13C coll_δ15N coll_δ18O phos,1.1125649999999996,6.418666830735205
combination_2_ABCDE,A,10,SVM,ABE,δ13C coll_δ15N coll_δ18O phos,1.2575179696156726,7.272138935501329
combination_2_ABCDE,A,10,RandomForest,ABE,δ13C coll_δ15N coll_δ18O phos,0.9718220684982029,5.234463372884408
