Combination,Feature,Percentage,Algorithm,FeatureSet,TranslatedFeatureSet,MAE,MAPE
combination_2_ABCDE,A,10,KNN,A,δ13C coll,0.35652365079365084,1.5970469282137523
combination_2_ABCDE,A,10,SVM,A,δ13C coll,0.4133832607621265,1.8613851386467737
combination_2_ABCDE,A,10,RandomForest,A,δ13C coll,0.43872936155431325,1.9666264042316723
combination_2_ABCDE,A,10,RandomForest_MICE,A,δ13C coll,0.4374006349206357,1.9601593816259513
combination_2_ABCDE,A,10,HybridKNN_RF,A,δ13C coll,0.4463709206349226,2.002559894402733
combination_2_ABCDE,A,10,KNN,AB,δ13C coll_δ15N coll,0.3786246031746033,1.6942255200889265
combination_2_ABCDE,A,10,SVM,AB,δ13C coll_δ15N coll,0.42369306903385057,1.9068517349894072
combination_2_ABCDE,A,10,RandomForest,AB,δ13C coll_δ15N coll,0.4478937467552243,2.0081367478352377
combination_2_ABCDE,A,10,RandomForest_MICE,AB,δ13C coll_δ15N coll,0.4356772380952371,1.952781880752066
combination_2_ABCDE,A,10,HybridKNN_RF,AB,δ13C coll_δ15N coll,0.46052030158730145,2.065820418922395
combination_2_ABCDE,A,10,KNN,AC,δ13C coll_δ13C carb,0.31287412698412725,1.3962545091783574
combination_2_ABCDE,A,10,SVM,AC,δ13C coll_δ13C carb,0.3812974895399243,1.71555162840571
combination_2_ABCDE,A,10,RandomForest,AC,δ13C coll_δ13C carb,0.4085107951879122,1.8314715067833416
combination_2_ABCDE,A,10,RandomForest_MICE,AC,δ13C coll_δ13C carb,0.35685057142857,1.5980626691705315
combination_2_ABCDE,A,10,HybridKNN_RF,AC,δ13C coll_δ13C carb,0.3715844444444457,1.665672102193779
combination_2_ABCDE,A,10,KNN,AD,δ13C coll_δ18O carb,0.37312682539682573,1.6719153852611188
combination_2_ABCDE,A,10,SVM,AD,δ13C coll_δ18O carb,0.41433178953796845,1.866793682894763
combination_2_ABCDE,A,10,RandomForest,AD,δ13C coll_δ18O carb,0.4307506179353003,1.9321682917016658
combination_2_ABCDE,A,10,RandomForest_MICE,AD,δ13C coll_δ18O carb,0.4262691746031767,1.9115514426433102
combination_2_ABCDE,A,10,HybridKNN_RF,AD,δ13C coll_δ18O carb,0.4445831428571451,1.99505446969617
combination_2_ABCDE,A,10,KNN,AE,δ13C coll_δ18O phos,0.3554879365079368,1.5931194622850502
combination_2_ABCDE,A,10,SVM,AE,δ13C coll_δ18O phos,0.4106377508544406,1.849205841584619
combination_2_ABCDE,A,10,RandomForest,AE,δ13C coll_δ18O phos,0.44792401249900166,2.008469595852154
combination_2_ABCDE,A,10,RandomForest_MICE,AE,δ13C coll_δ18O phos,0.4406488571428584,1.9759394019855439
combination_2_ABCDE,A,10,HybridKNN_RF,AE,δ13C coll_δ18O phos,0.44914753968254056,2.0156794026810627
combination_2_ABCDE,A,10,KNN,ABC,δ13C coll_δ15N coll_δ13C carb,0.37688666666666654,1.6843039539582723
combination_2_ABCDE,A,10,SVM,ABC,δ13C coll_δ15N coll_δ13C carb,0.4289237283075587,1.9265758500649905
combination_2_ABCDE,A,10,RandomForest,ABC,δ13C coll_δ15N coll_δ13C carb,0.42082772696742954,1.886113167926468
combination_2_ABCDE,A,10,RandomForest_MICE,ABC,δ13C coll_δ15N coll_δ13C carb,0.44831723809523966,2.008852731593953
combination_2_ABCDE,A,10,HybridKNN_RF,ABC,δ13C coll_δ15N coll_δ13C carb,0.467892333333335,2.097862649470895
combination_2_ABCDE,A,10,KNN,ABD,δ13C coll_δ15N coll_δ18O carb,0.38243539682539696,1.7103857332087042
combination_2_ABCDE,A,10,SVM,ABD,δ13C coll_δ15N coll_δ18O carb,0.43357404728718585,1.9504306312560196
combination_2_ABCDE,A,10,RandomForest,ABD,δ13C coll_δ15N coll_δ18O carb,0.4301181780732429,1.9299163953697835
combination_2_ABCDE,A,10,RandomForest_MICE,ABD,δ13C coll_δ15N coll_δ18O carb,0.459868920634921,2.0621484305028845
combination_2_ABCDE,A,10,HybridKNN_RF,ABD,δ13C coll_δ15N coll_δ18O carb,0.4615343333333315,2.0701349189995546
combination_2_ABCDE,A,10,KNN,ABE,δ13C coll_δ15N coll_δ18O phos,0.3819174603174604,1.7084774334102046
combination_2_ABCDE,A,10,SVM,ABE,δ13C coll_δ15N coll_δ18O phos,0.42425472521856183,1.9095047193662107
combination_2_ABCDE,A,10,RandomForest,ABE,δ13C coll_δ15N coll_δ18O phos,0.44196549144783415,1.9814405797838455
combination_2_ABCDE,A,10,RandomForest_MICE,ABE,δ13C coll_δ15N coll_δ18O phos,0.44766695238095255,2.0075915229583874
combination_2_ABCDE,A,10,HybridKNN_RF,ABE,δ13C coll_δ15N coll_δ18O phos,0.45009188888889007,2.0169373559060295
combination_2_ABCDE,A,10,KNN,ACD,δ13C coll_δ13C carb_δ18O carb,0.32960746031746063,1.4717690159794494
combination_2_ABCDE,A,10,SVM,ACD,δ13C coll_δ13C carb_δ18O carb,0.3747047089476795,1.685196766756098
combination_2_ABCDE,A,10,RandomForest,ACD,δ13C coll_δ13C carb_δ18O carb,0.38781573352288823,1.7402615152644116
combination_2_ABCDE,A,10,RandomForest_MICE,ACD,δ13C coll_δ13C carb_δ18O carb,0.3544139682539681,1.5880561006512859
combination_2_ABCDE,A,10,HybridKNN_RF,ACD,δ13C coll_δ13C carb_δ18O carb,0.37709750793650926,1.6883089025346993
combination_2_ABCDE,A,10,KNN,ACE,δ13C coll_δ13C carb_δ18O phos,0.3133280952380953,1.4001459392512536
combination_2_ABCDE,A,10,SVM,ACE,δ13C coll_δ13C carb_δ18O phos,0.3682385082365768,1.6570505361784527
combination_2_ABCDE,A,10,RandomForest,ACE,δ13C coll_δ13C carb_δ18O phos,0.40313586205632734,1.8071598260194808
combination_2_ABCDE,A,10,RandomForest_MICE,ACE,δ13C coll_δ13C carb_δ18O phos,0.3780030634920626,1.692032335369906
combination_2_ABCDE,A,10,HybridKNN_RF,ACE,δ13C coll_δ13C carb_δ18O phos,0.37815458730158824,1.6938862497614207
combination_2_ABCDE,A,10,KNN,ADE,δ13C coll_δ18O carb_δ18O phos,0.3862196825396825,1.730695945863443
combination_2_ABCDE,A,10,SVM,ADE,δ13C coll_δ18O carb_δ18O phos,0.41465635194918943,1.8691159682910545
combination_2_ABCDE,A,10,RandomForest,ADE,δ13C coll_δ18O carb_δ18O phos,0.4253251417809013,1.9076015925442604
combination_2_ABCDE,A,10,RandomForest_MICE,ADE,δ13C coll_δ18O carb_δ18O phos,0.4278025238095238,1.9195933546157218
combination_2_ABCDE,A,10,HybridKNN_RF,ADE,δ13C coll_δ18O carb_δ18O phos,0.4317312539682548,1.9347737920591777
combination_2_ABCDE,A,10,KNN,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,0.38676984126984115,1.7271114974080608
combination_2_ABCDE,A,10,SVM,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,0.4265996520052373,1.9158013548610398
combination_2_ABCDE,A,10,RandomForest,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,0.4673477853014223,2.0957087865328985
combination_2_ABCDE,A,10,RandomForest_MICE,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,0.47229712698412885,2.1147202254729978
combination_2_ABCDE,A,10,HybridKNN_RF,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,0.482216888888891,2.1604018566413474
combination_2_ABCDE,A,10,KNN,ABCE,δ13C coll_δ15N coll_δ13C carb_δ18O phos,0.3706301587301588,1.6559921188253521
combination_2_ABCDE,A,10,SVM,ABCE,δ13C coll_δ15N coll_δ13C carb_δ18O phos,0.42411033629749173,1.903656160395905
combination_2_ABCDE,A,10,RandomForest,ABCE,δ13C coll_δ15N coll_δ13C carb_δ18O phos,0.4294816856896597,1.9255944915481038
combination_2_ABCDE,A,10,RandomForest_MICE,ABCE,δ13C coll_δ15N coll_δ13C carb_δ18O phos,0.4662521269841292,2.092156032119469
combination_2_ABCDE,A,10,HybridKNN_RF,ABCE,δ13C coll_δ15N coll_δ13C carb_δ18O phos,0.4782825873015898,2.1465865902338566
combination_2_ABCDE,A,10,KNN,ABDE,δ13C coll_δ15N coll_δ18O carb_δ18O phos,0.37495095238095255,1.6768822780888146
combination_2_ABCDE,A,10,SVM,ABDE,δ13C coll_δ15N coll_δ18O carb_δ18O phos,0.42066674856489594,1.8923772775565233
combination_2_ABCDE,A,10,RandomForest,ABDE,δ13C coll_δ15N coll_δ18O carb_δ18O phos,0.43984792003366524,1.97419387467466
combination_2_ABCDE,A,10,RandomForest_MICE,ABDE,δ13C coll_δ15N coll_δ18O carb_δ18O phos,0.46036707936507826,2.0643978599300015
combination_2_ABCDE,A,10,HybridKNN_RF,ABDE,δ13C coll_δ15N coll_δ18O carb_δ18O phos,0.44713838095238156,2.006336043366119
combination_2_ABCDE,A,10,KNN,ACDE,δ13C coll_δ13C carb_δ18O carb_δ18O phos,0.32445634920634947,1.4485700605415919
combination_2_ABCDE,A,10,SVM,ACDE,δ13C coll_δ13C carb_δ18O carb_δ18O phos,0.3589610784735521,1.6138665526249008
combination_2_ABCDE,A,10,RandomForest,ACDE,δ13C coll_δ13C carb_δ18O carb_δ18O phos,0.3958771846248954,1.7769545223920271
combination_2_ABCDE,A,10,RandomForest_MICE,ACDE,δ13C coll_δ13C carb_δ18O carb_δ18O phos,0.36965377777777714,1.6541335333142626
combination_2_ABCDE,A,10,HybridKNN_RF,ACDE,δ13C coll_δ13C carb_δ18O carb_δ18O phos,0.3656393015873019,1.6364739090094147
combination_2_ABCDE,A,10,KNN,ABCDE,δ13C coll_δ15N coll_δ13C carb_δ18O carb_δ18O phos,0.3758555555555554,1.678201609264964
combination_2_ABCDE,A,10,SVM,ABCDE,δ13C coll_δ15N coll_δ13C carb_δ18O carb_δ18O phos,0.4033642639338614,1.8089386709786102
combination_2_ABCDE,A,10,RandomForest,ABCDE,δ13C coll_δ15N coll_δ13C carb_δ18O carb_δ18O phos,0.4578362684492288,2.052453275979104
combination_2_ABCDE,A,10,RandomForest_MICE,ABCDE,δ13C coll_δ15N coll_δ13C carb_δ18O carb_δ18O phos,0.45373130158730157,2.032721582030825
combination_2_ABCDE,A,10,HybridKNN_RF,ABCDE,δ13C coll_δ15N coll_δ13C carb_δ18O carb_δ18O phos,0.4791629841269879,2.1470276576985596
combination_2_ABCDE,A,15,KNN,A,δ13C coll,0.34147428571428595,1.5402671972000546
combination_2_ABCDE,A,15,SVM,A,δ13C coll,0.4211084458923889,1.9093100585489005
combination_2_ABCDE,A,15,RandomForest,A,δ13C coll,0.4114066966702074,1.855404832748399
combination_2_ABCDE,A,15,RandomForest_MICE,A,δ13C coll,0.42014215873015787,1.893529527342538
